expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
ama,ama,conj-contrast-epi,1,0,1,0,0,1,0,0,1,TRK_EVD_018,neither,
ama,ama,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,TRK_EVD_021,neither,
ama,ama,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"TRK_EVD_019,TRK_EVD_020",neither,
ama,ama,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"TRK_EVD_014,TRK_EVD_015,TRK_EVD_016,TRK_EVD_017",neither,
ama,ama,disj-nspk-sta-exc,0,0,NaN,1,0,0,0,0,0,"TRK_EVD_068,TRK_EVD_069,TRK_EVD_070,TRK_EVD_071",neither,
ama,ama,disj-nspk-sta-inc,?,0,NaN,1,0,0,0,0,0,"TRK_EVD_072,TRK_EVD_073,TRK_EVD_074,TRK_EVD_075",neither,
ama,ama,disj-spk,0,0,NaN,1,0,1,0,0,0,"TRK_EVD_064,TRK_EVD_065,TRK_EVD_066,TRK_EVD_067",neither,
ama,ama,neither-sta,0,1,NaN,1,0,0,0,0,0,"TRK_EVD_076,TRK_EVD_077,TRK_EVD_078,TRK_EVD_079",neither,
hem…hem…,hem…hem…de,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"TRK_EVD_001,TRK_EVD_002",neither,
hem…hem…,hem…hem…de,disj-nspk-sta-exc,0,0,NaN,1,0,0,0,0,0,"TRK_EVD_045,TRK_EVD_046",neither,
hem…hem…,hem…hem…de,disj-nspk-sta-inc,?,0,NaN,1,0,0,0,0,0,"TRK_EVD_051,TRK_EVD_052",neither,
hem…hem…,hem…hem…de,disj-spk,0,0,NaN,1,0,1,0,0,0,"TRK_EVD_039,TRK_EVD_040",neither,
hem…hem…,hem…hem…de,neither-sta,0,1,NaN,1,0,0,0,0,0,"TRK_EVD_057,TRK_EVD_058",neither,
ve,ve,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,TRK_EVD_010,neither,
ve,ve,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"TRK_EVD_003,TRK_EVD_004,TRK_EVD_005,TRK_EVD_006",neither,
ve,ve,disj-nspk-sta-exc,0,0,NaN,1,0,0,0,0,0,"TRK_EVD_047,TRK_EVD_048,TRK_EVD_049,TRK_EVD_050",neither,
ve,ve,disj-nspk-sta-inc,?,0,NaN,1,0,0,0,0,0,"TRK_EVD_053,TRK_EVD_054,TRK_EVD_055,TRK_EVD_056",neither,
ve,ve,disj-spk,0,0,NaN,1,0,1,0,0,0,"TRK_EVD_041,TRK_EVD_042,TRK_EVD_043,TRK_EVD_044",neither,
ve,ve,neither-sta,0,1,NaN,1,0,0,0,0,0,"TRK_EVD_059,TRK_EVD_060,TRK_EVD_061,TRK_EVD_062",neither,
veya,veya,conj-contrast-epi,1,0,1,0,0,1,0,0,0,TRK_EVD_104,neither,
veya,veya,conj-nocontrast-epi,1,0,0,0,0,1,0,0,0,TRK_EVD_088,neither,
