ref,context,premise,example,judgment,questionnaire,comment
TRK_EVD_001,conj-nocontrast-sta,na,TRK_001,felicitous,Q1,None
TRK_EVD_002,conj-nocontrast-sta,na,TRK_032,felicitous,Q1,None
TRK_EVD_003,conj-nocontrast-sta,na,TRK_002,felicitous,Q1,None
TRK_EVD_004,conj-nocontrast-sta,na,TRK_033,felicitous,Q1,None
TRK_EVD_005,conj-nocontrast-sta,na,TRK_003,felicitous,Q1,None
TRK_EVD_006,conj-nocontrast-sta,na,TRK_034,felicitous,Q1,None
TRK_EVD_007,conj-nocontrast-sta,na,TRK_004,?,Q1,None
TRK_EVD_008,conj-nocontrast-sta,na,TRK_005,infelicitous,Q1,None
TRK_EVD_009,conj-nocontrast-sta,na,TRK_006,?,Q1,None
TRK_EVD_010,conj-nocontrast-epi,na,TRK_007,felicitous,Q1,None
TRK_EVD_011,conj-nocontrast-epi,na,TRK_008,felicitous,Q1,Comment: Best with dropped pronoun
TRK_EVD_012,conj-nocontrast-sta,na,TRK_009,felicitous,Q1,"Additional note from Deniz: there is another coordinator that didn't come up: ""ile"", which likes to conjoin ""things of type e"" (and maybe quantifiers) but not predicates, see examples below"
TRK_EVD_013,conj-nocontrast-sta,na,TRK_010,felicitous,Q1,"Additional note from Deniz: there is another coordinator that didn't come up: ""ile"", which likes to conjoin ""things of type e"" (and maybe quantifiers) but not predicates, see examples below"
TRK_EVD_014,conj-contrast-sta-mod,na,TRK_011,felicitous,Q1,None
TRK_EVD_015,conj-contrast-sta-mod,na,TRK_036,felicitous,Q1,None
TRK_EVD_016,conj-contrast-sta-mod,na,TRK_012,felicitous,Q1,None
TRK_EVD_017,conj-contrast-sta-mod,na,TRK_037,felicitous,Q1,None
TRK_EVD_018,conj-contrast-epi,na,TRK_013,felicitous,Q1,None
TRK_EVD_019,conj-contrast-negp-sta,na,TRK_014,felicitous,Q1,None
TRK_EVD_020,conj-contrast-negp-sta,na,TRK_015,felicitous,Q1,None
TRK_EVD_021,conj-contrast-negp-epi,na,TRK_016,felicitous,Q1,"Comment: the second sentence sounds like you’re translating from English; For contrasting sub-constituents ama is not perfect, but the sentence would be true in the context"
TRK_EVD_022,disj-spk-1,na,TRK_017,felicitous,Q1,None
TRK_EVD_023,disj-spk-1,na,TRK_018,felicitous,Q1,None
TRK_EVD_024,disj-spk-1,na,TRK_019,infelicitous,Q1,None
TRK_EVD_025,disj-spk-2,na,TRK_020,felicitous,Q1,None
TRK_EVD_026,disj-nspk-epi,na,TRK_021,felicitous,Q1,None
TRK_EVD_027,disj-nspk-epi,na,TRK_022,felicitous,Q1,"Comment: yoksa is the disjunctor used in alternative questions; → ~ if p is not true, then q is true; Ordering potentially important with some pragmatic content"
