expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
-ko,-ko,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"kor_evidence_1,kor_evidence_47",neither,
kuliko,kuliko,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"kor_evidence_2,kor_evidence_3,kor_evidence_48,kor_evidence_49",neither,
-ko,-ko,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"kor_evidence_4,kor_evidence_5,kor_evidence_62,kor_evidence_63",neither,
kuliko,kuliko,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"kor_evidence_6,kor_evidence_7,kor_evidence_64,kor_evidence_65",neither,
-ciman,-ciman,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"kor_evidence_8,kor_evidence_9",neither,
haciman,haciman,conj-contrast-sta,1,0,1,1,0,1,0,0,1,kor_evidence_10,neither,
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,1,kor_evidence_82,neither,
-ciman,-ciman,conj-contrast-epi,1,0,1,0,0,1,0,0,1,kor_evidence_11,neither,
la,(ani-) la,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"kor_evidence_12,kor_evidence_13,kor_evidence_98",neither,
-ciman,-ciman,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,"kor_evidence_14,kor_evidence_15",neither,
-kena,-kena,disj-spk,0,0,,1,0,1,0,0,1,"kor_evidence_16,kor_evidence_19,kor_evidence_99",neither,
ttonun,-kena ttonun,disj-spk,0,0,,1,0,1,0,0,1,"kor_evidence_17,kor_evidence_20,kor_evidence_100",neither,
animyen,-kena animyen,disj-spk,0,0,,1,0,1,0,0,1,"kor_evidence_18,kor_evidence_21,kor_evidence_101",neither,
-kena,-kena,disj-nspk-epi,0,0,1,0,0,0,0,0,1,"kor_evidence_22,kor_evidence_23",neither,
ttonun,-kena ttonun,disj-nspk-epi,0,0,1,0,0,0,0,0,1,"kor_evidence_24,kor_evidence_25",neither,
animyen,-kena animyen,disj-nspk-epi,0,0,1,0,0,0,0,0,1,"kor_evidence_26,kor_evidence_27",neither,
-kena,-kena,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"kor_evidence_28,kor_evidence_108",neither,
ttonun,-kena ttonun,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"kor_evidence_29,kor_evidence_109",neither,
animyen,-kena animyen,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"kor_evidence_30,kor_evidence_110",neither,
-kena,-kena,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"kor_evidence_31,kor_evidence_111",neither,
ttonun,-kena ttonun,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,kor_evidence_112,neither,
animyen,-kena animyen,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,kor_evidence_113,neither,
animyen,animyen,disj-nspk-q,0,0,1,0,0,0,1,0,1,"kor_evidence_32,kor_evidence_34,kor_evidence_36,kor_evidence_117",neither,
ttonun,ttonun,disj-nspk-q,0,0,1,0,0,0,1,0,1,"kor_evidence_33,kor_evidence_35,kor_evidence_37,kor_evidence_118",neither,
-kena,-kena,disj-nspk-q,0,0,1,0,0,0,1,0,1,kor_evidence_119,neither,
...ko...,-to … ani/anh- … -ko … -to ani/anh- …,neither-sta,0,1,,1,0,0,0,0,1,kor_evidence_38,below,
...ko...,-to … ani/anh- … -ko … -to ani/anh- …,neither-epi,0,1,,0,1,0,0,0,1,"kor_evidence_39,kor_evidence_40",below,
-kena,-kena,fc,0,0,,0,0,0,0,1,1,kor_evidence_41,neither,
ttonun,-kena ttonun,fc,0,0,,0,0,0,0,1,1,kor_evidence_42,neither,
animyen,-kena animyen,fc,0,0,,0,0,0,0,1,1,kor_evidence_43,neither,
-ina,-ina,fc,0,0,,0,0,0,0,1,1,kor_evidence_44,neither,
ttonun,-ina ttonun,fc,0,0,,0,0,0,0,1,1,kor_evidence_45,neither,
animyen,-ina animyen,fc,0,0,,0,0,0,0,1,1,kor_evidence_46,neither,
-ko,-ko,disj-spk,0,0,,1,0,1,0,0,0,"kor_evidence_50,kor_evidence_66,kor_evidence_67",neither,
kuliko,kuliko,disj-spk,0,0,,1,0,1,0,0,0,"kor_evidence_51,kor_evidence_52,kor_evidence_68,kor_evidence_69",neither,
-ko,-ko,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,kor_evidence_53,neither,
kuliko,kuliko,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"kor_evidence_54,kor_evidence_55",neither,
-ko,-ko,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,kor_evidence_56,neither,
kuliko,kuliko,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"kor_evidence_57,kor_evidence_58",neither,
-ko,-ko,neither-sta,0,1,,1,0,0,0,0,0,kor_evidence_59,neither,
kuliko,kuliko,neither-sta,0,1,,1,0,0,0,0,0,"kor_evidence_60,kor_evidence_61",neither,
-ko,-ko,disj-nspk-epi-exc,0,0,,0,0,0,0,0,0,"kor_evidence_70,kor_evidence_71",neither,
kuliko,kuliko,disj-nspk-epi-exc,0,0,,0,0,0,0,0,0,"kor_evidence_72,kor_evidence_73",neither,
-ko,-ko,disj-nspk-epi-inc,?,0,,0,0,0,0,0,0,"kor_evidence_74,kor_evidence_75",neither,
kuliko,kuliko,disj-nspk-epi-inc,?,0,,0,0,0,0,0,0,"kor_evidence_76,kor_evidence_77",neither,
-ko,-ko,neither-epi,0,1,,0,0,0,0,0,0,"kor_evidence_78,kor_evidence_79",neither,
kuliko,kuliko,neither-epi,0,1,,0,0,0,0,0,0,"kor_evidence_80,kor_evidence_81",neither,
-ciman,-ciman,disj-spk,0,0,,1,0,1,0,0,0,"kor_evidence_83,kor_evidence_84",neither,
haciman,haciman,disj-spk,0,0,,1,0,1,0,0,0,kor_evidence_85,neither,
-ciman,-ciman,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"kor_evidence_86,kor_evidence_87",neither,
haciman,haciman,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,kor_evidence_88,neither,
-ciman,-ciman,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"kor_evidence_89,kor_evidence_90",neither,
haciman,haciman,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,kor_evidence_91,neither,
-ciman,-ciman,neither-sta,0,1,,1,0,0,0,0,0,"kor_evidence_92,kor_evidence_93",neither,
haciman,haciman,neither-sta,0,1,,1,0,0,0,0,0,kor_evidence_94,neither,
la,(ani-) la,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,kor_evidence_95,neither,
la,(ani-) la,conj-contrast-sta,1,0,1,1,0,1,0,0,0,kor_evidence_96,neither,
la,(ani-) la,neither-sta,0,1,,1,0,0,0,0,0,kor_evidence_97,neither,
-kena,-kena,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,kor_evidence_102,neither,
ttonun,-kena ttonun,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,kor_evidence_103,neither,
animyen,-kena animyen,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,kor_evidence_104,neither,
-kena,-kena,conj-contrast-sta,1,0,1,1,0,1,0,0,0,kor_evidence_105,neither,
ttonun,-kena ttonun,conj-contrast-sta,1,0,1,1,0,1,0,0,0,kor_evidence_106,neither,
animyen,-kena animyen,conj-contrast-sta,1,0,1,1,0,1,0,0,0,kor_evidence_107,neither,
-kena,-kena,neither-sta,0,1,,1,0,0,0,0,0,kor_evidence_114,neither,
ttonun,-kena ttonun,neither-sta,0,1,,1,0,0,0,0,0,kor_evidence_115,neither,
animyen,-kena animyen,neither-sta,0,1,,1,0,0,0,0,0,kor_evidence_116,neither,
