expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
y,y,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"spa_ev_003,spa_ev_004",neither,NA
y,y,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"spa_ev_001,spa_ev_002",neither,NA
y,y,disj-nspk-epi-exc,0,0,0,0,0,0,0,0,1,"spa_ev_044,spa_ev_045",neither,NA
y,y,disj-nspk-epi-inc,?,0,0,0,0,0,0,0,1,"spa_ev_046,spa_ev_047",neither,NA
y,y,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,"spa_ev_034,spa_ev_035",neither,NA
y,y,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,"spa_ev_036,spa_ev_037",neither,NA
y,y,disj-spk,0,0,0,0,0,1,0,0,1,"spa_ev_042,spa_ev_043",neither,NA
y,y,neither-epi,0,1,0,0,0,0,0,0,1,"spa_ev_048,spa_ev_049",neither,NA
y,y,neither-sta,0,1,0,1,0,0,0,0,0,"spa_ev_038,spa_ev_039",neither,NA
pero,pero,conj-contrast-epi,1,0,1,0,0,1,0,0,1,spa_ev_006,neither,NA
pero,pero,conj-contrast-sta,1,0,1,1,0,1,0,0,1,spa_ev_005,neither,NA
pero,pero,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,spa_ev_053,neither,NA
pero,pero,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,spa_ev_054,neither,NA
pero,pero,disj-spk,0,0,0,1,0,1,0,0,0,spa_ev_052,neither,NA
pero,pero,neither-sta,0,1,0,1,0,0,0,0,0,spa_ev_055,neither,NA
sino que,sino que,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,"spa_ev_009,spa_ev_010",neither,NA
sino que,sino que,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"spa_ev_007,spa_ev_008",neither,NA
sino que,sino que,conj-contrast-sta,1,0,1,1,0,1,0,0,?,"spa_ev_063,spa_ev_064",neither,"Conflicting evidence: felicitous with explicit negation, infelicitous without."
sino que,sino que,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"spa_ev_059,spa_ev_060,spa_ev_061,spa_ev_062",neither,"Conflicting evidence: felicitous with explicit negation, infelicitous without."
sino que,sino que,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,?,"spa_ev_067,spa_ev_068",neither,"Conflicting evidence: felicitous with explicit negation, infelicitous without."
sino que,sino que,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,?,"spa_ev_069,spa_ev_070",neither,"Conflicting evidence: felicitous with explicit negation, infelicitous without."
sino que,sino que,disj-spk,0,0,0,1,0,1,0,0,?,"spa_ev_065,spa_ev_066",neither,"Conflicting evidence: felicitous with explicit negation, infelicitous without."
sino que,sino que,neither-sta,0,1,0,1,0,0,0,0,?,"spa_ev_071,spa_ev_072",neither,"Conflicting evidence: felicitous with explicit negation, infelicitous without."
o,o,conj-contrast-sta,1,0,1,1,0,1,0,0,0,spa_ev_076,neither,NA
o,o,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,spa_ev_074,neither,NA
o,o,disj-nspk-q,0,0,1,0,0,0,1,0,1,"spa_ev_019,spa_ev_020,spa_ev_021",neither,NA
o,o,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,?,spa_ev_078,neither,Original judgment is '?'.
o,o,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,spa_ev_080,neither,NA
o,o,disj-spk,0,0,0,1,0,1,0,0,1,"spa_ev_011,spa_ev_012,spa_ev_013,spa_ev_014",neither,NA
o,o,fc,0,0,0,0,0,0,0,1,1,"spa_ev_024,spa_ev_025,spa_ev_026,spa_ev_027",neither,NA
o,o,neg,0,1,0,1,0,0,0,0,1,spa_ev_029,neither,NA
o,o,neither-sta,0,0,0,1,0,0,0,0,0,spa_ev_082,neither,NA
o … o,o … o,conj-contrast-sta,1,0,1,1,0,1,0,0,0,spa_ev_077,neither,NA
o … o,o … o,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,spa_ev_075,neither,NA
o … o,o … o,disj-nspk-epi,0,0,1,0,0,0,0,0,1,spa_ev_015,neither,NA
o … o,o … o,disj-nspk-q,0,0,1,0,0,0,1,0,0,spa_ev_086,neither,NA
o … o,o … o,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,1,"spa_ev_016,spa_ev_079",neither,NA
o … o,o … o,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,spa_ev_081,neither,NA
o … o,o … o,fc,0,0,0,0,0,0,0,1,0,"spa_ev_095,spa_ev_096",neither,NA
o … o,o … o,neither-sta,0,0,0,1,0,0,0,0,0,spa_ev_083,neither,NA
no … ni,no … ni,conj-contrast-sta,1,0,1,1,0,1,0,0,0,spa_ev_091,"no = negation, but here part of the connective (~ neither)",NA
no … ni,no … ni,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"spa_ev_089,spa_ev_090","no = negation, but here part of the connective (~ neither)","Conflicting evidence: infelicitous without negation on first conjunct, '*' with negation."
no … ni,no … ni,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,spa_ev_093,"no = negation, but here part of the connective (~ neither)",NA
no … ni,no … ni,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,spa_ev_094,"no = negation, but here part of the connective (~ neither)",NA
no … ni,no … ni,disj-spk,0,0,0,1,0,1,0,0,0,spa_ev_092,"no = negation, but here part of the connective (~ neither)",NA
no … ni,no … ni,neg,0,1,0,1,0,0,0,0,1,spa_ev_028,"no = negation, but here part of the connective (~ neither)",NA
no … ni,no … ni,neither-epi,0,1,0,0,1,0,0,0,1,spa_ev_023,"no = negation, but here part of the connective (~ neither)",NA
no … ni,no … ni,neither-sta,0,1,0,1,0,0,0,0,1,spa_ev_022,"no = negation, but here part of the connective (~ neither)",NA
juxtaposition,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,1,spa_ev_056,neither,NA
juxtaposition,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,spa_ev_058,neither,NA
juxtaposition,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,spa_ev_057,neither,NA
juxtaposition,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"spa_ev_050,spa_ev_051",neither,NA
juxtaposition,juxtaposition,conj-nocontrast-epi,1,0,0,0,0,1,0,0,0,"spa_ev_040,spa_ev_041",neither,NA
juxtaposition,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"spa_ev_030,spa_ev_031",neither,NA
juxtaposition,juxtaposition,disj-nspk-epi,0,0,1,0,0,0,0,0,0,spa_ev_084,neither,NA
juxtaposition,juxtaposition,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,spa_ev_085,neither,NA
juxtaposition,juxtaposition,disj-spk,0,0,0,1,0,1,0,0,0,spa_ev_073,neither,NA
juxtaposition,juxtaposition,neither-sta,0,1,0,1,0,0,0,0,0,"spa_ev_087,spa_ev_088",neither,NA
