expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,1,EVD_TEL_058,neither,"In A1, requires a certain intonation"
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,EVD_TEL_011,neither,"In A1, requires a certain intonation"
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"EVD_TEL_006,EVD_TEL_036,EVD_TEL_037",neither,Conflicting evidence exists. Judged felicitous in Q1 but infelicitous/marginal in Q2.
∅,∅,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,EVD_TEL_014,neither,"In A1, requires a certain intonation"
∅,∅,disj-nspk-epi,0,0,1,0,0,0,0,0,1,EVD_TEL_079,neither,"In A1, requires a certain intonation"
∅,∅,disj-spk,0,0,,0,0,1,0,0,0,EVD_TEL_063,neither,"In A1, requires a certain intonation"
...aa...aa,...aa...aa,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,EVD_TEL_025,neither,-aa' = question particle
...aa...aa,...aa...aa,disj-nspk-q-inc,?,0,,1,0,0,1,0,1,EVD_TEL_027,neither,-aa' = question particle
...ainaa...ainaa,...ainaa...ainaa,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,EVD_TEL_090,neither,"in free choice, there is no exclusivity implication"
...ainaa...ainaa,...ainaa...ainaa,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,EVD_TEL_088,neither,"in free choice, there is no exclusivity implication"
...ainaa...ainaa,...ainaa...ainaa,disj-nspk-q-exc,0,0,1,0,0,0,1,0,0,"EVD_TEL_098,EVD_TEL_099",neither,"in free choice, there is no exclusivity implication"
...ainaa...ainaa,...ainaa...ainaa,fc,0,0,,0,0,0,0,1,1,"EVD_TEL_032,EVD_TEL_034",neither,"in free choice, there is no exclusivity implication"
...ainaa...ainaa,...ainaa...ainaa,conj-nocontrast-epi,1,0,0,0,0,1,0,0,0,EVD_TEL_082,neither,"in free choice, there is no exclusivity implication"
...ainaa...ainaa,...ainaa...ainaa,conj-contrast-epi,1,0,1,0,0,1,0,0,0,EVD_TEL_084,neither,"in free choice, there is no exclusivity implication"
...ainaa...ainaa,...ainaa...ainaa,disj-spk,0,0,,0,0,1,0,0,0,EVD_TEL_086,neither,"in free choice, there is no exclusivity implication"
...ainaa...ainaa,...ainaa...ainaa,neither-epi,0,1,,0,1,0,0,0,0,EVD_TEL_092,neither,"in free choice, there is no exclusivity implication"
leeda,...ainaa leeda...ainaa,fc,0,0,,0,0,0,0,1,1,EVD_TEL_033,neither,"in free choice, there is exclusivity implicature"
...kaadu...kaadu,...kaadu...kaadu,neither-sta,0,1,,1,0,0,0,0,1,"EVD_TEL_028,EVD_TEL_029",below,kaadu' = to negate a copula
...leedu...leedu,...leedu...leedu,neither-epi,0,1,,0,1,0,0,0,1,EVD_TEL_030,below,leedu = negation
...oo..oo,...oo..oo,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,EVD_TEL_089,neither,disjunction -oo is possible if it is on object NPs; a full-clausal disjunction with '-oo' seems to be possible only if the clause is embedded
...oo..oo,...oo..oo,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,EVD_TEL_022,neither,disjunction -oo is possible if it is on object NPs; a full-clausal disjunction with '-oo' seems to be possible only if the clause is embedded
...oo..oo,...oo..oo,disj-nspk-q-exc,0,0,1,0,0,0,1,0,0,"EVD_TEL_096,EVD_TEL_097",neither,disjunction -oo is possible if it is on object NPs; a full-clausal disjunction with '-oo' seems to be possible only if the clause is embedded
...oo..oo,...oo..oo,fc,0,0,,0,0,0,0,1,0,"EVD_TEL_100,EVD_TEL_101",neither,disjunction -oo is possible if it is on object NPs; a full-clausal disjunction with '-oo' seems to be possible only if the clause is embedded
...oo..oo,...oo..oo,conj-nocontrast-epi,1,0,0,0,0,1,0,0,0,EVD_TEL_081,neither,disjunction -oo is possible if it is on object NPs; a full-clausal disjunction with '-oo' seems to be possible only if the clause is embedded
...oo..oo,...oo..oo,conj-contrast-epi,1,0,1,0,0,1,0,0,0,EVD_TEL_083,neither,disjunction -oo is possible if it is on object NPs; a full-clausal disjunction with '-oo' seems to be possible only if the clause is embedded
...oo..oo,...oo..oo,disj-spk,0,0,,0,0,1,0,0,0,EVD_TEL_085,neither,disjunction -oo is possible if it is on object NPs; a full-clausal disjunction with '-oo' seems to be possible only if the clause is embedded
...oo..oo,...oo..oo,neither-epi,0,1,,0,1,0,0,0,0,EVD_TEL_091,neither,disjunction -oo is possible if it is on object NPs; a full-clausal disjunction with '-oo' seems to be possible only if the clause is embedded
