expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
i,i…i,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,RUS_EVID_001,neither,
i,i…i,conj-nocontrast-epi,1,0,0,0,0,1,0,0,?,RUS_EVID_026,neither,Judgment is '*'
i,i…i,disj-spk,0,0,,1,0,1,0,0,0,RUS_EVID_022,neither,
i,i…i,disj-nspk-exc,0,0,,1,0,0,0,0,?,RUS_EVID_023,neither,Judgment is '??'
i,i…i,disj-nspk-inc,?,0,,1,0,0,0,0,0,RUS_EVID_024,neither,
i,i…i,neither,0,1,,1,0,0,0,0,0,RUS_EVID_025,neither,
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"RUS_EVID_002,RUS_EVID_020",neither,Conflicting evidence found.
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,?,RUS_EVID_027,neither,Judgment is '*'
∅,∅,disj-spk,0,0,,1,0,1,0,0,?,RUS_EVID_040,neither,Judgment is '*'
∅,∅,disj-nspk-exc,0,0,1,0,0,0,0,0,?,RUS_EVID_047,neither,Judgment is '*'
∅,∅,neither,0,1,,1,0,0,0,0,?,RUS_EVID_053,neither,Judgment is '*'
a,a,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"RUS_EVID_021,RUS_EVID_034",neither,Judgments are infelicitous and '*'
a,a,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,RUS_EVID_003,neither,
a,a,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"RUS_EVID_029,RUS_EVID_035",neither,
a,a,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,RUS_EVID_006,neither,
a,a,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,RUS_EVID_007,neither,
a,a,disj-spk,0,0,,1,0,1,0,0,?,RUS_EVID_036,neither,Judgment is '*'
a,a,disj-nspk-exc,0,0,,1,0,0,0,0,?,RUS_EVID_037,neither,Judgment is '*'
a,a,disj-nspk-inc,?,0,,1,0,0,0,0,?,RUS_EVID_038,neither,Judgment is '*'
a,a,neither,0,1,,1,0,0,0,0,?,RUS_EVID_039,neither,Judgment is '*'
no,no,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"RUS_EVID_004,RUS_EVID_028",neither,
no,no,conj-contrast-epi,1,0,1,0,0,1,0,0,1,RUS_EVID_005,neither,
no,no,disj-spk,0,0,,1,0,1,0,0,0,RUS_EVID_030,neither,
no,no,disj-nspk-exc,0,0,,1,0,0,0,0,0,RUS_EVID_031,neither,
no,no,disj-nspk-inc,?,0,,1,0,0,0,0,0,RUS_EVID_032,neither,
no,no,neither,0,1,,1,0,0,0,0,0,RUS_EVID_033,neither,
libo,libo…libo,disj-spk,0,0,,1,0,1,0,0,1,"RUS_EVID_008,RUS_EVID_009",neither,
libo,libo…libo,disj-nspk-exc,0,0,1,0,0,0,0,0,1,RUS_EVID_043,neither,
libo,libo…libo,disj-nspk-inc,?,0,,1,0,0,0,0,?,"RUS_EVID_044,RUS_EVID_045",neither,Conflicting evidence found.
libo,libo…libo,fc,0,0,,0,0,0,0,1,1,RUS_EVID_019,neither,
libo,libo…libo,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,RUS_EVID_041,neither,
libo,libo…libo,conj-contrast-sta,1,0,1,1,0,1,0,0,0,RUS_EVID_042,neither,
libo,libo…libo,neither,0,0,,1,0,0,0,0,0,RUS_EVID_046,neither,
ili,ili…ili,disj-spk,0,0,,1,0,1,0,0,1,RUS_EVID_050,neither,
ili,ili…ili,disj-nspk-exc,0,0,1,0,0,0,0,0,1,"RUS_EVID_010,RUS_EVID_012",neither,
ili,ili…ili,disj-nspk-inc,?,0,,1,0,0,0,0,1,RUS_EVID_013,neither,
ili,ili…ili,fc,0,0,,0,0,0,0,1,1,RUS_EVID_017,neither,
ili,ili…ili,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,RUS_EVID_048,neither,
ili,ili…ili,conj-contrast-sta,1,0,1,1,0,1,0,0,0,RUS_EVID_049,neither,
ili,ili…ili,neither,0,1,,1,0,0,0,0,0,RUS_EVID_051,neither,
ili,ili,disj-nspk-exc,0,0,1,0,0,0,0,0,1,RUS_EVID_011,neither,
ili,ili,disj-nspk-q,0,0,1,0,0,0,1,0,1,"RUS_EVID_014,RUS_EVID_015",neither,
ili,ili,fc,0,0,,0,0,0,0,1,1,RUS_EVID_018,neither,
ni,ni…ni,neither,0,1,,1,0,0,0,0,1,RUS_EVID_016,below,
ni,ni…ni,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,RUS_EVID_054,below,
ni,ni…ni,conj-contrast-sta,1,0,1,1,0,1,0,0,0,RUS_EVID_055,below,
ni,ni…ni,disj-spk,0,0,0,1,0,1,0,0,0,RUS_EVID_056,below,
ni,ni…ni,disj-nspk-exc,0,0,0,1,0,0,0,0,0,RUS_EVID_057,below,
ni,ni…ni,disj-nspk-inc,?,0,0,1,0,0,0,0,0,RUS_EVID_058,below,
