expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
jau,jau,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,CAN_EVID_001,neither,
jau,jau,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,CAN_EVID_024,neither,
jau,jau,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,CAN_EVID_025,neither,
jau,jau,disj-spk,0,0,,1,0,1,0,0,0,CAN_EVID_023,neither,
jau,jau,neither-sta,0,1,,1,0,0,0,0,0,CAN_EVID_026,neither,
daanhai,daanhai,conj-contrast-sta,1,0,1,1,0,1,0,0,1,CAN_EVID_004,neither,
daanhai,daanhai,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,CAN_EVID_029,neither,
daanhai,daanhai,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,CAN_EVID_030,neither,
daanhai,daanhai,disj-spk,0,0,,1,0,1,0,0,0,CAN_EVID_028,neither,
daanhai,daanhai,neither-sta,0,1,,1,0,0,0,0,0,CAN_EVID_031,neither,
batgwo,batgwo,conj-contrast-epi,1,0,1,0,0,1,0,0,1,CAN_EVID_005,neither,
batgwo,batgwo,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,CAN_EVID_008,neither,
batgwo,batgwo,disj-nspk-epi-exc,0,0,,0,0,0,0,0,0,CAN_EVID_033,neither,
batgwo,batgwo,disj-nspk-epi-inc,?,0,,0,0,0,0,0,0,CAN_EVID_034,neither,
batgwo,batgwo,neither-epi,0,1,,0,0,0,0,0,0,CAN_EVID_035,neither,
jik,jik,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,CAN_EVID_007,neither,
jik,jik,conj-contrast-sta,1,0,1,1,0,1,0,0,0,CAN_EVID_038,neither,
jik,jik,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,CAN_EVID_037,neither,
jik,jik,disj-nspk-epi-q,0,0,1,0,0,0,1,0,0,CAN_EVID_063,neither,
jik,jik,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,CAN_EVID_041,neither,
jik,jik,disj-spk,0,0,,1,0,1,0,0,0,"CAN_EVID_039,CAN_EVID_040",neither,
jik,jik,fc,0,0,,0,0,0,0,1,1,CAN_EVID_077,neither,
jik,jik,neither-sta,0,1,,1,0,0,0,0,0,"CAN_EVID_044,CAN_EVID_045",neither,
jik,jau honang … jik jau honang,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,CAN_EVID_060,neither,
jik,jau honang … jik jau honang,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"CAN_EVID_014,CAN_EVID_042",neither,
jat-hai,jat-hai … jat-hai,disj-nspk-epi,0,0,1,0,0,0,0,0,1,CAN_EVID_012,neither,
jat-hai,jat-hai … jat-hai,disj-nspk-epi-q,0,0,1,0,0,0,1,0,?,CAN_EVID_064,neither,
jat-hai,jat-hai … jat-hai,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,CAN_EVID_013,neither,
jat-hai,jat-hai … jat-hai,disj-spk,0,0,,1,0,1,0,0,1,"CAN_EVID_009,CAN_EVID_011",neither,
jat-hai,jat-hai … jat-hai,fc,0,0,,0,0,0,0,1,?,CAN_EVID_076,neither,
waakze,waakze,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"CAN_EVID_049,CAN_EVID_050",neither,
waakze,waakze,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"CAN_EVID_047,CAN_EVID_048",neither,
waakze,waakze,disj-nspk-epi-q,0,0,1,0,0,0,1,0,?,CAN_EVID_062,neither,
waakze,waakze,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"CAN_EVID_051,CAN_EVID_052",neither,
waakze,waakze,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"CAN_EVID_053,CAN_EVID_055",neither,
waakze,waakze,disj-spk,0,0,,1,0,1,0,0,1,CAN_EVID_010,neither,
waakze,waakze,fc,0,0,,0,0,0,0,1,1,CAN_EVID_020,neither,
waakze,waakze,neither-sta,0,1,,1,0,0,0,0,0,"CAN_EVID_056,CAN_EVID_057",neither,
dinghai,dinghai,disj-nspk-epi-q,0,0,1,0,0,0,1,0,1,CAN_EVID_015,neither,
dinghai,dinghai,disj-nspk-sta-q,?,0,,1,0,0,1,0,1,CAN_EVID_016,neither,
dinghai,dinghai,fc,0,0,,0,0,0,0,1,0,"CAN_EVID_078,CAN_EVID_079",neither,
jik,m … jik m,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"CAN_EVID_068,CAN_EVID_069",below,
jik,m … jik m,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"CAN_EVID_066,CAN_EVID_067",below,
jik,m … jik m,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"CAN_EVID_072,CAN_EVID_073",below,
jik,m … jik m,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"CAN_EVID_074,CAN_EVID_075",below,
jik,m … jik m,disj-spk,0,0,,1,0,1,0,0,0,"CAN_EVID_070,CAN_EVID_071",below,
jik,m … jik m,negative,0,1,,1,,0,0,0,1,CAN_EVID_022,below,
jik,m … jik m,neither-sta,0,1,,1,0,0,0,0,1,CAN_EVID_017,below,
jau,jau m … jau m,negative,0,1,,1,,0,0,0,1,CAN_EVID_021,below,
jau,jau m … jau m,neither-sta,0,1,,1,0,0,0,0,1,CAN_EVID_018,below,
jik,mou … jik mou,neither-epi,0,1,,0,1,0,0,0,1,CAN_EVID_019,below,
∅,∅,conj-contrast-epi,1,0,1,0,0,1,0,0,1,CAN_EVID_032,neither,
∅,∅,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,CAN_EVID_036,neither,
∅,∅,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,CAN_EVID_006,neither,
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,?,CAN_EVID_027,neither,
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,?,CAN_EVID_003,neither,
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,CAN_EVID_002,neither,
∅,∅,disj-nspk-epi,0,0,1,0,0,0,0,0,0,CAN_EVID_058,neither,
∅,∅,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,CAN_EVID_059,neither,
∅,∅,disj-spk,0,0,,1,0,1,0,0,0,CAN_EVID_046,neither,
∅,∅,neither-sta,0,1,,1,0,0,0,0,?,CAN_EVID_065,neither,
