expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
juxtaposition,juxtaposition,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"kii_ev_3,kii_ev_30",neither,
juxtaposition,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,kii_ev_22,neither,
juxtaposition,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,0,kii_ev_36,neither,
juxtaposition,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,kii_ev_38,neither,
juxtaposition,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,kii_ev_37,neither,
juxtaposition,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,0,kii_ev_31,neither,
juxtaposition,juxtaposition,disj-nspk-epi,0,0,1,0,0,0,0,0,0,kii_ev_58,neither,
juxtaposition,juxtaposition,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,kii_ev_59,neither,
juxtaposition,juxtaposition,disj-spk-sta,0,0,0,1,0,1,0,0,0,kii_ev_39,neither,
juxtaposition,juxtaposition,neither-sta,0,1,0,1,0,0,0,0,0,kii_ev_64,neither,
kana,MOD + kana,disj-nspk-epi,0,0,1,0,0,0,0,0,1,"kii_ev_13,kii_ev_56",neither,
kana,MOD + kana,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,1,"kii_ev_15,kii_ev_27,kii_ev_32,kii_ev_52,kii_ev_53",neither,
kana,MOD + kana,disj-spk-sta,0,0,0,1,0,1,0,0,1,"kii_ev_10,kii_ev_11",neither,
kana,kana,disj-nspk-epi,0,0,1,0,0,0,0,0,0,kii_ev_57,neither,
kana,kana,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,?,"kii_ev_14,kii_ev_47,kii_ev_48",neither,Conflicting evidence
kana,kana,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,"kii_ev_50,kii_ev_51",neither,
kana,kana,disj-q-epi,0,0,1,0,0,0,1,0,1,"kii_ev_16,kii_ev_61",neither,
kana,kana,disj-q-sta,?,0,0,1,0,0,1,0,1,kii_ev_17,neither,
kana,kana,disj-spk-sta,0,0,0,1,0,1,0,0,?,"kii_ev_40,kii_ev_41",neither,Conflicting evidence
kana,kana,fc,0,0,0,0,0,0,0,1,?,"kii_ev_20,kii_ev_70,kii_ev_71",neither,Conflicting evidence
kana,kana,neither-sta,0,1,0,1,0,0,0,0,0,kii_ev_55,neither,
na,MOD + na,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,1,kii_ev_25,neither,
na,gati ka … na …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,kii_ev_42,neither,
na,gati ka … na …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,kii_ev_44,neither,
na,gati ka … na …,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,1,"kii_ev_46,kii_ev_60",neither,
na,gati ka … na …,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,kii_ev_49,neither,
na,gati ka … na …,disj-q-epi,0,0,1,0,0,0,1,0,1,"kii_ev_62,kii_ev_63",neither,
na,gati ka … na …,disj-spk-sta,0,0,0,1,0,1,0,0,1,kii_ev_12,neither,
na,gati ka … na …,fc,0,0,0,0,0,0,0,1,1,kii_ev_72,neither,
na,gati ka … na …,neither-sta,0,1,0,1,0,0,0,0,0,kii_ev_54,neither,
na,na,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,kii_ev_2,neither,
na,na,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,kii_ev_1,neither,
na,na,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,kii_ev_24,neither,
na,na,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,kii_ev_26,neither,
na,na,disj-spk-sta,0,0,0,1,0,1,0,0,0,kii_ev_23,neither,
na,na,neither-sta,0,1,0,1,0,0,0,0,0,kii_ev_28,neither,
na,ti … na ti,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,kii_ev_65,below,
na,ti … na ti,conj-contrast-sta,1,0,1,1,0,1,0,0,0,kii_ev_66,below,
na,ti … na ti,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,kii_ev_68,below,
na,ti … na ti,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,kii_ev_69,below,
na,ti … na ti,disj-spk-sta,0,0,0,1,0,1,0,0,0,kii_ev_67,below,
na,ti … na ti,negative,0,1,0,1,0,0,0,0,1,kii_ev_21,below,
na,ti … na ti,neither-epi,0,1,0,0,1,0,0,0,1,kii_ev_19,below,
na,ti … na ti,neither-sta,0,1,0,1,0,0,0,0,1,"kii_ev_18,kii_ev_29",below,
îndî,îndî,conj-contrast-epi,1,0,1,0,0,1,0,0,1,kii_ev_5,neither,
îndî,îndî,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,kii_ev_9,neither,
îndî,îndî,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,kii_ev_7,neither,
îndî,îndî,conj-contrast-sta,1,0,1,1,0,1,0,0,1,kii_ev_4,neither,
îndî,îndî,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,kii_ev_33,neither,
îndî,îndî,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,kii_ev_34,neither,
îndî,îndî,disj-spk-sta,0,0,0,1,0,1,0,0,0,kii_ev_32,neither,
îndî,îndî,neither-sta,0,1,0,1,0,0,0,0,0,kii_ev_35,neither,
