ref,context,premise,example,judgment,questionnaire,comment
akan_evidence_1,conj-nocontrast-sta,na,akan_1,felicitous,Q1,
akan_evidence_2,conj-nocontrast-sta,na,akan_2,felicitous,Q1,
akan_evidence_3,conj-nocontrast-sta,na,akan_3,felicitous,Q1,
akan_evidence_4,conj-nocontrast-epi,na,akan_4,felicitous,Q1,
akan_evidence_5,conj-nocontrast-epi,na,akan_5,felicitous,Q1,
akan_evidence_6,conj-contrast-sta-mod,na,akan_6,felicitous,Q1,“hia” can also mean “need”
akan_evidence_7,conj-contrast-epi,na,akan_7,felicitous,Q1,
akan_evidence_8,conj-contrast-negp-sta,na,akan_8,felicitous,Q1,
akan_evidence_9,conj-contrast-negp-sta,na,akan_9,felicitous,Q1,
akan_evidence_10,conj-contrast-negp-epi,na,akan_10,felicitous,Q1,
akan_evidence_11,disj-spk-1,na,akan_11,felicitous,Q1,Can be a statement or a question
akan_evidence_12,disj-spk-2,na,akan_12,felicitous,Q1,“Either” can be used in Akan as well
akan_evidence_13,disj-spk-2,na,akan_13,felicitous,Q1,“Either” can be used in Akan as well
akan_evidence_14,disj-nspk-epi,na,akan_14,felicitous,Q1,... I left it at the time I went home.
akan_evidence_15,disj-nspk-epi,na,akan_15,felicitous,Q1,... I left it at the time I went home.
akan_evidence_16,disj-nspk-sta-exc-mod,na,akan_16,felicitous,Q1,
akan_evidence_17,disj-nspk-sta-inc-mod,na,akan_17,felicitous,Q1,
akan_evidence_18,disj-nspk-epi-q-mod,na,akan_18,felicitous,Q1,
akan_evidence_19,disj-nspk-epi-q-mod,na,akan_19,felicitous,Q1,
akan_evidence_20,disj-nspk-sta-inc-q,na,akan_20,felicitous,Q1,Translated as “Do you know whether...”
akan_evidence_21,disj-nspk-sta-inc-q,na,akan_21,felicitous,Q1,Translated as “Do you know whether...”
akan_evidence_22,disj-nspk-sta-inc-q,na,akan_22,felicitous,Q1,shorter version
akan_evidence_23,neither-sta,na,akan_23,felicitous,Q1,
akan_evidence_24,neither-sta,na,akan_24,felicitous,Q1,
akan_evidence_25,neither-epi,na,akan_25,felicitous,Q1,“buy” changed to “eat”
akan_evidence_26,neither-epi,na,akan_26,felicitous,Q1,“buy” changed to “eat”
akan_evidence_27,fc,na,akan_27,felicitous,Q1,
