expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
va,va,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,farsi-ev-1,neither,
va,va,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,farsi-ev-2,neither,
va,va,disj-spk,0,0,,1,0,1,0,0,0,"farsi-ev-28, farsi-ev-33",neither,
va,va,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-29,neither,
va,va,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,farsi-ev-30,neither,
va,va,disj-nspk-epi-exc,0,0,,0,0,0,0,0,0,farsi-ev-34,neither,
va,va,disj-nspk-epi-inc,?,0,,0,0,0,0,0,0,farsi-ev-35,neither,
va,va,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-31,neither,
va,va,neither-epi,0,1,,0,1,0,0,0,0,farsi-ev-36,neither,
amma,amma,conj-contrast-sta,1,0,1,1,0,1,0,0,1,farsi-ev-3,neither,
amma,amma,disj-spk,0,0,,1,0,1,0,0,0,farsi-ev-38,neither,
amma,amma,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-40,neither,
amma,amma,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,farsi-ev-42,neither,
amma,amma,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-44,neither,
vali,vali,conj-contrast-sta,1,0,1,1,0,1,0,0,1,farsi-ev-4,neither,
vali,vali,disj-spk,0,0,,1,0,1,0,0,0,farsi-ev-39,neither,
vali,vali,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-41,neither,
vali,vali,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,farsi-ev-43,neither,
vali,vali,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-45,neither,
balke,balke,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,farsi-ev-5,neither,
balke,balke,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,farsi-ev-7,neither,
balke,balke,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"farsi-ev-49, farsi-ev-50",neither,
balke,balke,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-51,neither,
balke,balke,disj-spk,0,0,,1,0,1,0,0,0,"farsi-ev-52, farsi-ev-53",neither,
balke,balke,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"farsi-ev-54, farsi-ev-55",neither,
balke,balke,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"farsi-ev-56, farsi-ev-57",neither,
balke,balke,neither-sta,0,1,,1,0,0,0,0,?,"farsi-ev-58, farsi-ev-59",neither,Conflicting evidence
bejash,bejash,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,farsi-ev-8,neither,
ya ... ya,ya ... ya,disj-spk,0,0,,1,0,1,0,0,1,"farsi-ev-9, farsi-ev-10, farsi-ev-11, fars-ev-12, farsi-ev-13, farsi-ev-14",neither,
ya ... ya,ya ... ya,disj-nspk-epi,0,0,1,0,0,0,0,0,1,farsi-ev-15,neither,
ya ... ya,ya ... ya,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"farsi-ev-16, farsi-ev-69",neither,
ya ... ya,ya ... ya,disj-nspk-sta-inc,?,0,,1,0,0,0,0,?,"farsi-ev-17, farsi-ev-18, farsi-ev-73",neither,Conflicting evidence
ya ... ya,ya ... ya,disj-nspk-q-exc,0,0,1,0,0,0,1,0,0,farsi-ev-84,neither,
ya ... ya,ya ... ya,fc,0,0,,0,0,0,0,1,1,"farsi-ev-23, farsi-ev-93",neither,
ya ... ya,ya ... ya,negative,0,1,,1,,0,0,0,1,"farsi-ev-25, farsi-ev-26",neither,
ya ... ya,ya ... ya,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-61,neither,
ya ... ya,ya ... ya,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-65,neither,
ya ... ya,ya ... ya,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-77,neither,
ya,ya,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,"farsi-ev-19, farsi-ev-83",neither,
ya,ya,disj-nspk-q-inc,?,0,,1,0,0,1,0,1,farsi-ev-20,neither,
ya,ya,fc,0,0,,0,0,0,0,1,?,"farsi-ev-95, farsi-ev-96",neither,Conflicting evidence
ya,ya + negation,negative,0,1,,1,,0,0,0,1,farsi-ev-24,above,
ya,ya,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-64,neither,
ya,ya,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-68,neither,
ya,ya,disj-nspk-sta-exc,0,0,,1,0,0,0,0,?,farsi-ev-72,neither,Uncertain judgment
ya,ya,disj-nspk-sta-inc,?,0,,1,0,0,0,0,?,farsi-ev-76,neither,Uncertain judgment
ya,ya,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-80,neither,
na ... na,na ... na,neither-sta,0,1,,1,0,0,0,0,1,farsi-ev-21,neither,
na ... na,na ... na,neither-epi,0,1,,0,1,0,0,0,1,farsi-ev-22,neither,
na ... na,na ... na,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-88,neither,
na ... na,na ... na,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-89,neither,
na ... na,na ... na,disj-spk,0,0,,1,0,1,0,0,0,farsi-ev-90,neither,
na ... na,na ... na,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-91,neither,
na ... na,na ... na,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,farsi-ev-92,neither,
juxtaposition,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"farsi-ev-6, farsi-ev-47",neither,
juxtaposition,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,farsi-ev-48,neither,
juxtaposition,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-37,neither,
juxtaposition,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,1,farsi-ev-46,neither,
juxtaposition,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,farsi-ev-27,neither,Uncertain judgment
juxtaposition,juxtaposition,conj-nocontrast-epi,1,0,0,0,0,1,0,0,0,farsi-ev-32,neither,
juxtaposition,juxtaposition,disj-spk,0,0,,1,0,1,0,0,?,farsi-ev-60,neither,Uncertain judgment
juxtaposition,juxtaposition,disj-nspk-epi,0,0,1,0,0,0,0,0,0,farsi-ev-81,neither,
juxtaposition,juxtaposition,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,farsi-ev-82,neither,
juxtaposition,juxtaposition,neither-sta,0,1,,1,0,0,0,0,0,"farsi-ev-86, farsi-ev-87",neither,
ya ... va ya,ya ... va ya,disj-spk,0,0,,1,0,1,0,0,1,"farsi-ev-11, farsi-ev-12",neither,
ya ... va ya,ya ... va ya,disj-nspk-sta-exc,0,0,,1,0,0,0,0,?,farsi-ev-70,neither,Uncertain judgment
ya ... va ya,ya ... va ya,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,farsi-ev-74,neither,
ya ... va ya,ya ... va ya,disj-nspk-q-exc,0,0,1,0,0,0,1,0,0,farsi-ev-85,neither,
ya ... va ya,ya ... va ya,fc,0,0,,0,0,0,0,1,1,farsi-ev-94,neither,
ya ... va ya,ya ... va ya,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-62,neither,
ya ... va ya,ya ... va ya,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-66,neither,
ya ... va ya,ya ... va ya,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-78,neither,
va ya,va ya,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,farsi-ev-63,neither,
va ya,va ya,conj-contrast-sta,1,0,1,1,0,1,0,0,0,farsi-ev-67,neither,
va ya,va ya,disj-nspk-sta-exc,0,0,,1,0,0,0,0,?,farsi-ev-71,neither,Uncertain judgment
va ya,va ya,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,farsi-ev-75,neither,
va ya,va ya,neither-sta,0,1,,1,0,0,0,0,0,farsi-ev-79,neither,
