expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
(na) emom,(na) emom,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,akan_evidence_10,neither,
(na) emom,(na) emom,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"akan_evidence_8,akan_evidence_9",neither,
(na) emom,(na) emom,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"akan_evidence_53,akan_evidence_54",neither,
(na) emom,(na) emom,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"akan_evidence_51,akan_evidence_52",neither,
(na) emom,(na) emom,disj-nspk-exc-sta,0,0,,1,0,0,0,0,0,"akan_evidence_57,akan_evidence_58",neither,
(na) emom,(na) emom,disj-nspk-inc-sta,?,0,,1,0,0,0,0,0,"akan_evidence_59,akan_evidence_60",neither,
(na) emom,(na) emom,disj-spk-sta,0,0,,1,0,1,0,0,0,"akan_evidence_55,akan_evidence_56",neither,
(na) emom,(na) emom,neither-sta,0,1,,1,0,0,0,0,0,"akan_evidence_61,akan_evidence_62,akan_evidence_63,akan_evidence_64",neither,
anaa,-n- … anaa sɛ …,neither-epi,0,1,,0,1,0,0,0,1,"akan_evidence_25,akan_evidence_26",above,
anaa,-n- … anaa sɛ …,neither-sta,0,1,,1,0,0,0,0,1,akan_evidence_23,above,
nso,-n- … nso … -n- …,neither-sta,0,1,,1,0,0,0,0,1,akan_evidence_24,below,
anaa,anaa,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,akan_evidence_69,neither,
anaa,anaa,disj-nspk-exc-sta,0,0,,1,0,0,0,0,?,akan_evidence_73,neither,Conflicting evidence: ?
anaa,anaa,disj-spk-sta,0,0,,1,0,1,0,0,1,akan_evidence_11,neither,
anaa,anaa sɛ,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,akan_evidence_68,neither,
anaa,anaa sɛ,disj-nspk-exc-epi,0,0,1,0,0,0,0,0,1,"akan_evidence_14,akan_evidence_15",neither,
anaa,anaa sɛ,disj-nspk-exc-sta,0,0,,1,0,0,0,0,1,"akan_evidence_16,akan_evidence_72",neither,
anaa,anaa sɛ,disj-nspk-inc-sta,?,0,,1,0,0,0,0,1,akan_evidence_17,neither,
anaa,anaa sɛ,disj-nspk-q,0,0,1,0,0,0,1,0,1,"akan_evidence_18,akan_evidence_19,akan_evidence_20,akan_evidence_21,akan_evidence_22",neither,
anaa,anaa sɛ,fc,0,0,,0,0,0,0,1,1,akan_evidence_27,neither,
anaa,either sɛ … anaa sɛ,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"akan_evidence_66,akan_evidence_67",neither,"Conflicting evidence: *, infelicitous"
anaa,either sɛ … anaa sɛ,disj-nspk-exc-sta,0,0,,1,0,0,0,0,?,"akan_evidence_70,akan_evidence_71",neither,"Conflicting evidence: *, felicitous"
anaa,either sɛ … anaa sɛ,disj-spk-sta,0,0,,1,0,1,0,0,1,"akan_evidence_12,akan_evidence_13",neither,
nanso,nanso,conj-contrast-epi,1,0,1,0,0,1,0,0,1,akan_evidence_7,neither,
nanso,nanso,conj-contrast-sta,1,0,1,1,0,1,0,0,1,akan_evidence_6,neither,
nanso,nanso,disj-nspk-exc-sta,0,0,,1,0,0,0,0,0,akan_evidence_45,neither,
nanso,nanso,disj-nspk-inc-sta,?,0,,1,0,0,0,0,0,akan_evidence_46,neither,
nanso,nanso,disj-spk-sta,0,0,,1,0,1,0,0,0,akan_evidence_44,neither,
nanso,nanso,neither-sta,0,1,,1,0,0,0,0,0,akan_evidence_47,neither,
ɛna,ɛna,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,akan_evidence_4,neither,
ɛna,ɛna,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,akan_evidence_2,neither,
ɛna,ɛna,disj-nspk-exc-epi,0,0,1,0,0,0,0,0,0,akan_evidence_40,neither,
ɛna,ɛna,disj-nspk-exc-sta,0,0,,1,0,0,0,0,0,akan_evidence_33,neither,
ɛna,ɛna,disj-nspk-inc-epi,?,0,,0,0,0,0,0,1,akan_evidence_41,neither,
ɛna,ɛna,disj-nspk-inc-sta,?,0,,1,0,0,0,0,0,akan_evidence_35,neither,
ɛna,ɛna,disj-spk-epi,0,0,,0,0,1,0,0,0,akan_evidence_39,neither,
ɛna,ɛna,disj-spk-sta,0,0,,1,0,1,0,0,0,akan_evidence_31,neither,
ɛna,ɛna,neither-epi,0,1,,0,1,0,0,0,0,akan_evidence_42,neither,
ɛna,ɛna,neither-sta,0,1,,1,0,0,0,0,0,akan_evidence_37,neither,
ɛna,ɛna … (-sane) …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,akan_evidence_1,neither,
ɛna,ɛna … (-sane) …,disj-nspk-exc-sta,0,0,,1,0,0,0,0,0,akan_evidence_32,neither,
ɛna,ɛna … (-sane) …,disj-nspk-inc-sta,?,0,,1,0,0,0,0,0,akan_evidence_34,neither,
ɛna,ɛna … (-sane) …,disj-spk-sta,0,0,,1,0,1,0,0,0,akan_evidence_30,neither,
ɛna,ɛna … (-sane) …,neither-sta,0,1,,1,0,0,0,0,0,akan_evidence_36,neither,
∅,∅,conj-contrast-epi,1,0,1,0,0,1,0,0,0,akan_evidence_48,neither,
∅,∅,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,akan_evidence_50,neither,
∅,∅,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,akan_evidence_49,neither,
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,1,akan_evidence_43,neither,
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"akan_evidence_38,akan_evidence_5",neither,
