expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
∅,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,0,HIN_EVD_38,neither,
∅,juxtaposition,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,HIN_EVD_5,neither,
∅,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"HIN_EVD_3, HIN_EVD_31, HIN_EVD_32",neither,Conflicting evidence
∅,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,"HIN_EVD_12, HIN_EVD_47",neither,
∅,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"HIN_EVD_8, HIN_EVD_46",neither,
∅,juxtaposition,disj-nspk-exc,0,0,,,0,0,0,0,0,"HIN_EVD_62, HIN_EVD_63",neither,
∅,juxtaposition,disj-spk,0,0,,1,0,1,0,0,0,HIN_EVD_48,neither,
aur,aur,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,HIN_EVD_4,neither,
aur,aur,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,HIN_EVD_2,neither,
aur,aur,disj-nspk-exc,0,0,,,0,0,0,0,0,HIN_EVD_34,neither,
aur,aur,disj-nspk-inc,?,0,,1,0,0,0,0,?,"HIN_EVD_35, HIN_EVD_36",neither,Conflicting evidence
aur,aur,disj-spk,0,0,,1,0,1,0,0,0,HIN_EVD_33,neither,
aur,aur,neither,0,1,,,,0,0,0,0,HIN_EVD_37,neither,
aur,aur … bhi …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,HIN_EVD_1,neither,
aur,bhi nahi … aur … bhi nahi …,neither,0,1,,,,0,0,0,1,"HIN_EVD_28, HIN_EVD_29",below,
lekin,lekin,conj-contrast-epi,1,0,1,0,0,1,0,0,1,HIN_EVD_7,neither,
lekin,lekin,conj-contrast-sta,1,0,1,1,0,1,0,0,1,HIN_EVD_6,neither,
lekin,lekin,disj-nspk-exc,0,0,,,0,0,0,0,0,HIN_EVD_43,neither,
lekin,lekin,disj-nspk-inc,?,0,,1,0,0,0,0,0,HIN_EVD_44,neither,
lekin,lekin,disj-spk,0,0,,1,0,1,0,0,0,HIN_EVD_42,neither,
lekin,lekin,neither,0,1,,,,0,0,0,0,HIN_EVD_45,neither,
lekin,nahi … lekin …,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,HIN_EVD_11,neither,
lekin,nahi … lekin …,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,0,"HIN_EVD_9, HIN_EVD_10",neither,
magar,magar,conj-contrast-sta,1,0,1,1,0,1,0,0,1,HIN_EVD_41,neither,
par,par,conj-contrast-sta,1,0,1,1,0,1,0,0,1,HIN_EVD_40,neither,
parantu,parantu,conj-contrast-sta,1,0,1,1,0,1,0,0,1,HIN_EVD_39,neither,
ya,bhi … ya … bhi,disj-nspk-inc,?,0,,1,0,0,0,0,1,HIN_EVD_25,neither,
ya,ya,disj-nspk-exc,0,0,,,0,0,0,0,1,HIN_EVD_68,neither,
ya,ya,disj-nspk-inc,?,0,,1,0,0,0,0,0,HIN_EVD_73,neither,
ya,ya,disj-nspk-q,0,0,,,0,0,1,0,1,"HIN_EVD_26, HIN_EVD_27, HIN_EVD_76",neither,
ya,ya,disj-spk,0,0,,1,0,1,0,0,1,HIN_EVD_59,neither,
ya,ya,fc,0,0,,0,0,0,0,1,1,HIN_EVD_78,neither,
ya,ya … ya …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,HIN_EVD_51,neither,
ya,ya … ya …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,HIN_EVD_49,neither,
ya,ya … ya …,disj-nspk-exc,0,0,,,0,0,0,0,1,"HIN_EVD_53, HIN_EVD_66, HIN_EVD_67",neither,
ya,ya … ya …,disj-nspk-inc,?,0,,1,0,0,0,0,?,"HIN_EVD_55, HIN_EVD_57, HIN_EVD_71, HIN_EVD_72",neither,Conflicting evidence
ya,ya … ya …,disj-nspk-q,0,0,,,0,0,1,0,0,HIN_EVD_75,neither,
ya,ya … ya …,disj-spk,0,0,,1,0,1,0,0,1,"HIN_EVD_13, HIN_EVD_15, HIN_EVD_17",neither,
ya,ya … ya …,fc,0,0,,0,0,0,0,1,1,HIN_EVD_77,neither,
ya,ya … ya …,neither,0,1,,,,0,0,0,0,HIN_EVD_60,neither,
ya,ya toh … ya …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,HIN_EVD_52,neither,
ya,ya toh … ya …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,HIN_EVD_50,neither,
ya,ya toh … ya …,disj-nspk-exc,0,0,,,0,0,0,0,1,"HIN_EVD_19, HIN_EVD_20, HIN_EVD_21, HIN_EVD_54, HIN_EVD_64, HIN_EVD_65",neither,
ya,ya toh … ya …,disj-nspk-inc,?,0,,1,0,0,0,0,?,"HIN_EVD_22, HIN_EVD_23, HIN_EVD_56, HIN_EVD_58, HIN_EVD_69, HIN_EVD_70",neither,Conflicting evidence
ya,ya toh … ya …,disj-nspk-q,0,0,,,0,0,1,0,0,HIN_EVD_74,neither,
ya,ya toh … ya …,disj-spk,0,0,,1,0,1,0,0,1,"HIN_EVD_14, HIN_EVD_16, HIN_EVD_18",neither,
ya,ya toh … ya …,fc,0,0,,0,0,0,0,1,1,HIN_EVD_30,neither,
ya,ya toh … ya …,neither,0,1,,,,0,0,0,0,HIN_EVD_61,neither,
