expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
cũng,không … cũng không,conj-contrast-sta,1,0,1,1,0,1,0,0,0,vie_evidence_86,below,
cũng,không … cũng không,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,vie_evidence_85,below,
cũng,không … cũng không,disj-spk,0,0,0,1,0,1,0,0,0,vie_evidence_87,below,
cũng,không … cũng không,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,vie_evidence_88,below,
cũng,không … cũng không,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,vie_evidence_89,below,
cũng,không … cũng không,neither-epi,0,1,,0,1,0,0,0,1,vie_evidence_19,below,
cũng,không … cũng không,neither-sta,0,1,,1,0,0,0,0,1,vie_evidence_18,below,
cũng,cũng,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"vie_evidence_2,vie_evidence_22",neither,
cũng,cũng,disj-spk,0,0,,1,0,1,0,0,0,vie_evidence_25,neither,
cũng,cũng,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,vie_evidence_28,neither,
cũng,cũng,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"vie_evidence_31,vie_evidence_33",neither,
cũng,cũng,fc,0,0,,0,0,0,0,1,1,vie_evidence_92,neither,
hay,hay,conj-contrast-sta,1,0,1,1,0,1,0,0,0,vie_evidence_64,neither,
hay,hay,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,vie_evidence_60,neither,
hay,hay,disj-nspk-epi-q,0,0,1,0,0,0,1,0,1,"vie_evidence_16,vie_evidence_81",neither,
hay,hay,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,vie_evidence_68,neither,
hay,hay,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,vie_evidence_72,neither,
hay,hay,disj-nspk-sta-inc-q,?,0,,1,0,0,1,0,1,vie_evidence_17,neither,
hay,hay,fc,0,0,,0,0,0,0,1,0,"vie_evidence_95,vie_evidence_96",neither,
hay,hay,negative,0,1,,1,,0,0,0,1,"vie_evidence_21,vie_evidence_97",neither,
hay,hay,neither-sta,0,0,,1,0,0,0,0,0,vie_evidence_76,neither,
juxtaposition,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,0,vie_evidence_46,neither,
