expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
kai,kai,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,GR-EVD-001,neither,
kai,kai,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,GR-EVD-003,neither,
kai,kai,disj-spk,0,0,0,1,0,1,0,0,0,GR-EVD-038,neither,
kai,kai,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,"GR-EVD-039,GR-EVD-040",neither,
kai,kai,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,"GR-EVD-041,GR-EVD-042",neither,
kai,kai,neither-sta,0,1,0,1,0,0,0,0,0,GR-EVD-043,neither,
alla,alla,conj-contrast-sta,1,0,1,1,0,1,0,0,1,GR-EVD-005,neither,
alla,alla,conj-contrast-epi,1,0,1,0,0,1,0,0,1,GR-EVD-007,neither,
alla,alla,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"GR-EVD-009,GR-EVD-010",neither,
alla,alla,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,GR-EVD-012,neither,
alla,alla,disj-spk,0,0,0,1,0,1,0,0,0,"GR-EVD-045,GR-EVD-046",neither,
alla,alla,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,"GR-EVD-047,GR-EVD-048",neither,
alla,alla,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,"GR-EVD-049,GR-EVD-050",neither,
alla,alla,neither-sta,0,1,0,1,0,0,0,0,0,"GR-EVD-051,GR-EVD-052",neither,
omos,omos,conj-contrast-sta,1,0,1,1,0,1,0,0,1,GR-EVD-006,neither,
omos,omos,conj-contrast-epi,1,0,1,0,0,1,0,0,1,GR-EVD-008,neither,
omos,omos,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,GR-EVD-013,neither,
omos,omos,disj-spk,0,0,0,1,0,1,0,0,0,"GR-EVD-045,GR-EVD-046",neither,
omos,omos,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,"GR-EVD-047,GR-EVD-048",neither,
omos,omos,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,"GR-EVD-049,GR-EVD-050",neither,
omos,omos,neither-sta,0,1,0,1,0,0,0,0,0,"GR-EVD-051,GR-EVD-052",neither,
‘i,‘i,disj-spk,0,0,0,1,0,1,0,0,1,"GR-EVD-014,GR-EVD-017",neither,
‘i,‘i,disj-nspk-epi,0,0,1,0,0,0,0,0,1,GR-EVD-018,neither,
‘i,‘i,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,1,"GR-EVD-020,GR-EVD-021",neither,
‘i,‘i,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,"GR-EVD-022,GR-EVD-023,GR-EVD-069,GR-EVD-070",neither,"Conflicting evidence: felicitous in Q1, infelicitous in Q2 without continuation."
‘i,‘i,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,GR-EVD-024,neither,
‘i,‘i,disj-nspk-q-inc,?,0,0,1,0,0,1,0,1,GR-EVD-025,neither,
‘i,‘i,fc,0,0,0,0,0,0,0,1,1,"GR-EVD-035,GR-EVD-036",neither,
‘i,‘i,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,GR-EVD-055,neither,
‘i,‘i,conj-contrast-sta,1,0,1,1,0,1,0,0,0,GR-EVD-057,neither,
‘i,‘i,neither-sta,0,0,0,1,0,0,0,0,0,GR-EVD-063,neither,
ite,ite … ite …,disj-spk,0,0,0,1,0,1,0,0,1,"GR-EVD-015,GR-EVD-016",neither,
ite,ite … ite …,disj-nspk-epi,0,0,1,0,0,0,0,0,1,GR-EVD-019,neither,
ite,ite … ite …,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,1,"GR-EVD-058,GR-EVD-067,GR-EVD-068",neither,
ite,ite … ite …,fc,0,0,0,0,0,0,0,1,1,GR-EVD-034,neither,
ite,ite … ite …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,GR-EVD-054,neither,
ite,ite … ite …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,GR-EVD-056,neither,
ite,ite … ite …,disj-nspk-sta-inc,?,0,0,1,0,0,0,0,0,"GR-EVD-060,GR-EVD-071,GR-EVD-072",neither,"Conflicting evidence: infelicitous in Q2, but noted as potentially felicitous with continuation."
