expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments,source_file,ref,words,glosses,translation,comment,questionnaire
(na) emom,(na) emom,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,akan_evidence_10,neither,,Akan,NA,NA,NA,NA,NA,NA
(na) emom,(na) emom,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"akan_evidence_8,akan_evidence_9",neither,,Akan,NA,NA,NA,NA,NA,NA
(na) emom,(na) emom,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"akan_evidence_53,akan_evidence_54",neither,,Akan,NA,NA,NA,NA,NA,NA
(na) emom,(na) emom,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"akan_evidence_51,akan_evidence_52",neither,,Akan,NA,NA,NA,NA,NA,NA
(na) emom,(na) emom,disj-nspk-exc-sta,0,0,,1,0,0,0,0,0,"akan_evidence_57,akan_evidence_58",neither,,Akan,NA,NA,NA,NA,NA,NA
(na) emom,(na) emom,disj-nspk-inc-sta,?,0,,1,0,0,0,0,0,"akan_evidence_59,akan_evidence_60",neither,,Akan,NA,NA,NA,NA,NA,NA
(na) emom,(na) emom,disj-spk-sta,0,0,,1,0,1,0,0,0,"akan_evidence_55,akan_evidence_56",neither,,Akan,NA,NA,NA,NA,NA,NA
(na) emom,(na) emom,neither-sta,0,1,,1,0,0,0,0,0,"akan_evidence_61,akan_evidence_62,akan_evidence_63,akan_evidence_64",neither,,Akan,NA,NA,NA,NA,NA,NA
anaa,-n- … anaa sɛ …,neither-epi,0,1,,0,1,0,0,0,1,"akan_evidence_25,akan_evidence_26",above,,Akan,NA,NA,NA,NA,NA,NA
anaa,-n- … anaa sɛ …,neither-sta,0,1,,1,0,0,0,0,1,akan_evidence_23,above,,Akan,NA,NA,NA,NA,NA,NA
nso,-n- … nso … -n- …,neither-sta,0,1,,1,0,0,0,0,1,akan_evidence_24,below,,Akan,NA,NA,NA,NA,NA,NA
anaa,anaa,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,akan_evidence_69,neither,,Akan,NA,NA,NA,NA,NA,NA
anaa,anaa,disj-nspk-exc-sta,0,0,,1,0,0,0,0,?,akan_evidence_73,neither,Conflicting evidence: ?,Akan,NA,NA,NA,NA,NA,NA
anaa,anaa,disj-spk-sta,0,0,,1,0,1,0,0,1,akan_evidence_11,neither,,Akan,NA,NA,NA,NA,NA,NA
anaa,anaa sɛ,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,akan_evidence_68,neither,,Akan,NA,NA,NA,NA,NA,NA
anaa,anaa sɛ,disj-nspk-exc-epi,0,0,1,0,0,0,0,0,1,"akan_evidence_14,akan_evidence_15",neither,,Akan,NA,NA,NA,NA,NA,NA
anaa,anaa sɛ,disj-nspk-exc-sta,0,0,,1,0,0,0,0,1,"akan_evidence_16,akan_evidence_72",neither,,Akan,NA,NA,NA,NA,NA,NA
anaa,anaa sɛ,disj-nspk-inc-sta,?,0,,1,0,0,0,0,1,akan_evidence_17,neither,,Akan,NA,NA,NA,NA,NA,NA
anaa,anaa sɛ,disj-nspk-q,0,0,1,0,0,0,1,0,1,"akan_evidence_18,akan_evidence_19,akan_evidence_20,akan_evidence_21,akan_evidence_22",neither,,Akan,NA,NA,NA,NA,NA,NA
anaa,anaa sɛ,fc,0,0,,0,0,0,0,1,1,akan_evidence_27,neither,,Akan,NA,NA,NA,NA,NA,NA
anaa,either sɛ … anaa sɛ,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,"akan_evidence_66,akan_evidence_67",neither,"Conflicting evidence: *, infelicitous",Akan,NA,NA,NA,NA,NA,NA
anaa,either sɛ … anaa sɛ,disj-nspk-exc-sta,0,0,,1,0,0,0,0,?,"akan_evidence_70,akan_evidence_71",neither,"Conflicting evidence: *, felicitous",Akan,NA,NA,NA,NA,NA,NA
anaa,either sɛ … anaa sɛ,disj-spk-sta,0,0,,1,0,1,0,0,1,"akan_evidence_12,akan_evidence_13",neither,,Akan,NA,NA,NA,NA,NA,NA
nanso,nanso,conj-contrast-epi,1,0,1,0,0,1,0,0,1,akan_evidence_7,neither,,Akan,NA,NA,NA,NA,NA,NA
nanso,nanso,conj-contrast-sta,1,0,1,1,0,1,0,0,1,akan_evidence_6,neither,,Akan,NA,NA,NA,NA,NA,NA
nanso,nanso,disj-nspk-exc-sta,0,0,,1,0,0,0,0,0,akan_evidence_45,neither,,Akan,NA,NA,NA,NA,NA,NA
nanso,nanso,disj-nspk-inc-sta,?,0,,1,0,0,0,0,0,akan_evidence_46,neither,,Akan,NA,NA,NA,NA,NA,NA
nanso,nanso,disj-spk-sta,0,0,,1,0,1,0,0,0,akan_evidence_44,neither,,Akan,NA,NA,NA,NA,NA,NA
nanso,nanso,neither-sta,0,1,,1,0,0,0,0,0,akan_evidence_47,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,akan_evidence_4,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,akan_evidence_2,neither,,Akan,NA,NA,NA,NA,NA,NA
ɛna,ɛna,disj-nspk-exc-epi,0,0,1,0,0,0,0,0,0,akan_evidence_40,neither,,Akan,NA,NA,NA,NA,NA,NA
