ref,context,premise,example,judgment,questionnaire,comment
GR-EVD-001,conj-nocontrast-sta,na,GR-001,felicitous,Q1,
GR-EVD-002,conj-nocontrast-sta,na,GR-003,felicitous,Q1,"it’s possible (but it’s not totally ok, the subject of 2nd sentence could be understood as another person); Needs list-like intonation"
GR-EVD-003,conj-nocontrast-epi,na,GR-004,felicitous,Q1,
GR-EVD-004,conj-nocontrast-epi,na,GR-005,felicitous,Q1,
GR-EVD-005,conj-contrast-sta-mod,na,GR-006,felicitous,Q1,
GR-EVD-006,conj-contrast-sta-mod,na,GR-007,felicitous,Q1,
GR-EVD-007,conj-contrast-epi,na,GR-010,felicitous,Q1,
GR-EVD-008,conj-contrast-epi,na,GR-011,felicitous,Q1,
GR-EVD-009,conj-contrast-negp-sta,na,GR-012,felicitous,Q1,
GR-EVD-010,conj-contrast-negp-sta,na,GR-013,felicitous,Q1,
GR-EVD-011,conj-contrast-negp-sta,na,GR-014,felicitous,Q1,
GR-EVD-012,conj-contrast-negp-epi,na,GR-015,felicitous,Q1,
GR-EVD-013,conj-contrast-negp-epi,na,GR-016,felicitous,Q1,
GR-EVD-014,disj-spk-1,na,GR-017,felicitous,Q1,
GR-EVD-015,disj-spk-1,na,GR-018,felicitous,Q1,like ‘either…or…’ in English
GR-EVD-016,disj-spk-2,na,GR-019,felicitous,Q1,
GR-EVD-017,disj-spk-2,na,GR-020,felicitous,Q1,
GR-EVD-018,disj-nspk-epi,na,GR-022,felicitous,Q1,
GR-EVD-019,disj-nspk-epi,na,GR-024,felicitous,Q1,
GR-EVD-020,disj-nspk-sta-exc-mod,na,GR-025,felicitous,Q1,"if we use ‘ite’ here, it will cancel the implicature that John is both"
GR-EVD-021,disj-nspk-sta-exc-mod,na,GR-026,felicitous,Q1,"if we use ‘ite’ here, it will cancel the implicature that John is both"
GR-EVD-022,disj-nspk-sta-inc-mod,na,GR-025,felicitous,Q1,
GR-EVD-023,disj-nspk-sta-inc-mod,na,GR-026,felicitous,Q1,
GR-EVD-024,disj-nspk-epi-q-mod,na,GR-031,felicitous,Q1,
