ref,context,premise,example,judgment,questionnaire,comment
kor_evidence_1,conj-nocontrast-sta,na,kor_1,felicitous,Q1,
kor_evidence_2,conj-nocontrast-sta,na,kor_2,felicitous,Q1,
kor_evidence_3,conj-nocontrast-sta,na,kor_3,felicitous,Q1,
kor_evidence_4,conj-nocontrast-epi,na,kor_4,felicitous,Q1,
kor_evidence_5,conj-nocontrast-epi,na,kor_5,felicitous,Q1,
kor_evidence_6,conj-nocontrast-epi,na,kor_6,felicitous,Q1,
kor_evidence_7,conj-nocontrast-epi,na,kor_7,felicitous,Q1,
kor_evidence_8,conj-contrast-sta-mod,na,kor_8,felicitous,Q1,
kor_evidence_9,conj-contrast-sta-mod,na,kor_9,felicitous,Q1,
kor_evidence_10,conj-contrast-sta-mod,na,kor_10,felicitous,Q1,
kor_evidence_11,conj-contrast-epi,na,kor_11,felicitous,Q1,
kor_evidence_12,conj-contrast-negp-sta,na,kor_12,felicitous,Q1,It would mean “Although he is not a doctor…”
kor_evidence_13,conj-contrast-negp-sta,na,kor_13,felicitous,Q1,It would mean “Although he is not a doctor…”
kor_evidence_14,conj-contrast-negp-epi,na,kor_14,felicitous,Q1,an: didn’t buy on purpose
kor_evidence_15,conj-contrast-negp-epi,na,kor_15,felicitous,Q1,mos: no choice
kor_evidence_16,disj-spk-1,na,kor_16,felicitous,Q1,
kor_evidence_17,disj-spk-1,na,kor_17,felicitous,Q1,tto-nun : also-(contrastive)topic?
kor_evidence_18,disj-spk-1,na,kor_18,felicitous,Q1,animyen : neg-if (higher rate of exclusive or interpretation)
kor_evidence_19,disj-spk-2,na,kor_19,felicitous,Q1,
kor_evidence_20,disj-spk-2,na,kor_20,felicitous,Q1,
kor_evidence_21,disj-spk-2,na,kor_21,felicitous,Q1,
kor_evidence_22,disj-nspk-epi,na,kor_22,felicitous,Q1,
kor_evidence_23,disj-nspk-epi,na,kor_23,felicitous,Q1,
kor_evidence_24,disj-nspk-epi,na,kor_24,felicitous,Q1,
kor_evidence_25,disj-nspk-epi,na,kor_25,felicitous,Q1,
kor_evidence_26,disj-nspk-epi,na,kor_26,felicitous,Q1,
kor_evidence_27,disj-nspk-epi,na,kor_27,felicitous,Q1,
kor_evidence_28,disj-nspk-sta-exc-mod,na,kor_28,felicitous,Q1,
kor_evidence_29,disj-nspk-sta-exc-mod,na,kor_29,felicitous,Q1,
kor_evidence_30,disj-nspk-sta-exc-mod,na,kor_30,felicitous,Q1,
kor_evidence_31,disj-nspk-sta-inc-mod,na,kor_31,felicitous,Q1,"?? ttonun, ?? animyen"
kor_evidence_32,disj-nspk-epi-q-mod,na,kor_32,felicitous,Q1,
kor_evidence_33,disj-nspk-epi-q-mod,na,kor_33,?,Q1,"if there is a pause, ttonun may be not that weird"
kor_evidence_34,disj-nspk-sta-inc-q,na,kor_34,felicitous,Q1,
