expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
∅,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,0,NL_E_43,neither,
∅,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,NL_E_45,neither,
∅,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,NL_E_44,neither,
∅,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,1,NL_E_38,neither,
∅,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,NL_E_29,neither,Conflicting evidence
∅,juxtaposition,disj-spk,0,0,,1,0,1,0,0,0,NL_E_46,neither,
∅,juxtaposition,neither-sta,0,1,,1,0,0,0,0,0,NL_E_62,neither,
en,en,conj-nocontrast-epi,1,0,0,0,0,1,0,0,?,"NL_E_34,NL_E_35,NL_E_36,NL_E_37,NL_E_4",neither,
en,en,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"NL_E_1,NL_E_2",neither,
en,en,disj-spk,0,0,,1,0,1,0,0,0,NL_E_30,neither,
en,en,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,NL_E_31,neither,
en,en,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_32,neither,
en,en,neither-sta,0,1,,1,0,0,0,0,0,NL_E_33,neither,
en,geen … en … geen …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,NL_E_63,below,
en,geen … en … geen …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,NL_E_65,below,
en,geen … en … geen …,disj-spk,0,0,,1,0,1,0,0,0,NL_E_67,below,
en,geen … en … geen …,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,NL_E_69,below,
en,geen … en … geen …,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_71,below,
en,geen … en … geen …,negative,0,1,,1,,0,0,0,1,NL_E_26,below,
en,geen … en … geen …,neither-sta,0,1,,1,0,0,0,0,1,NL_E_21,below,
en,geen … en och niet …,neither-epi,0,1,,0,1,0,0,0,1,NL_E_23,below,
maar,maar,conj-contrast-epi,1,0,1,0,0,1,0,0,1,NL_E_6,neither,
maar,maar,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,NL_E_9,neither,
maar,maar,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"NL_E_7,NL_E_8",neither,
maar,maar,conj-contrast-sta,1,0,1,1,0,1,0,0,1,NL_E_5,neither,
maar,maar,disj-spk,0,0,,1,0,1,0,0,0,NL_E_39,neither,
maar,maar,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,NL_E_40,neither,
maar,maar,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_41,neither,
maar,maar,neither-sta,0,1,,1,0,0,0,0,0,NL_E_42,neither,
noch,geen … noch …,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,NL_E_64,above,
noch,geen … noch …,conj-contrast-sta,1,0,1,1,0,1,0,0,0,NL_E_66,above,
noch,geen … noch …,disj-spk,0,0,,1,0,1,0,0,0,NL_E_68,above,
noch,geen … noch …,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,NL_E_70,above,
noch,geen … noch …,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_72,above,
noch,geen … noch …,neither-sta,0,1,,1,0,0,0,0,1,NL_E_22,above,
noch,niet … noch …,negative,0,1,,1,,0,0,0,1,NL_E_28,above,
of,(of) … of,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,NL_E_49,neither,
of,(of) … of,conj-contrast-sta,1,0,1,1,0,1,0,0,0,NL_E_51,neither,
of,(of) … of,disj-spk,0,0,,1,0,1,0,0,1,"NL_E_10,NL_E_12,NL_E_47",neither,
of,(of) … of,disj-nspk-epi-q,0,0,1,0,0,0,1,0,?,NL_E_61,neither,
of,(of) … of,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"NL_E_53,NL_E_60",neither,
of,(of) … of,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,NL_E_55,neither,
of,(of) … of,fc,0,0,,0,0,0,0,1,1,NL_E_74,neither,
of,(of) … of,neither-sta,0,1,,1,0,0,0,0,0,NL_E_57,neither,
of,of,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,NL_E_50,neither,
of,of,conj-contrast-sta,1,0,1,1,0,1,0,0,0,NL_E_52,neither,
of,of,disj-spk,0,0,,1,0,1,0,0,1,"NL_E_11,NL_E_13,NL_E_48",neither,
of,of,disj-nspk-epi,0,0,1,0,0,0,0,0,1,NL_E_14,neither,
of,of,disj-nspk-epi-q,0,0,1,0,0,0,1,0,1,"NL_E_17,NL_E_18",neither,
of,of,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"NL_E_15,NL_E_54,NL_E_59",neither,
of,of,disj-nspk-sta-inc,?,0,,1,0,0,0,0,?,"NL_E_16,NL_E_56",neither,
of,of,disj-nspk-sta-inc-q,?,0,,1,0,0,1,0,1,"NL_E_19,NL_E_20",neither,
of,of,fc,0,0,,0,0,0,0,1,1,"NL_E_24,NL_E_25,NL_E_73",neither,
of,of,neither-sta,0,1,,1,0,0,0,0,0,NL_E_58,neither,
of,niet … of …,negative,0,1,,1,,0,0,0,1,NL_E_27,above,
