ref,context,premise,example,judgment,questionnaire,comment
hausa-con-evid1,conj-nocontrast-sta,na,hausa-con-1,felicitous,1,
hausa-con-evid2,conj-nocontrast-sta,na,hausa-con-1b,?,1,Consultant says it's ok in Q1 but is infelicitous in Q2
hausa-con-evid3,conj-nocontrast-epi,na,hausa-con-2,felicitous,1,
hausa-con-evid4,conj-nocontrast-epi,na,hausa-con-2b,felicitous,1,
hausa-con-evid5,conj-contrast-sta-mod,na,hausa-con-3,felicitous,1,
hausa-con-evid6,conj-contrast-epi,na,hausa-con-4,felicitous,1,
hausa-con-evid7,conj-contrast-negp-sta,na,hausa-con-5,felicitous,1,
hausa-con-evid8,conj-contrast-negp-epi,na,hausa-con-6,felicitous,1,
hausa-con-evid9,disj-spk-1,na,hausa-con-7,felicitous,1,
hausa-con-evid10,disj-spk-1,na,hausa-con-7b,felicitous,1,
hausa-con-evid11,disj-spk-2,na,hausa-con-8,felicitous,1,
hausa-con-evid12,disj-spk-2,na,hausa-con-8b,felicitous,1,
hausa-con-evid13,disj-nspk-epi,na,hausa-con-9,felicitous,1,
hausa-con-evid14,disj-nspk-sta-exc-mod,na,hausa-con-10,felicitous,1,
hausa-con-evid15,disj-nspk-sta-inc-mod,na,hausa-con-11,felicitous,1,
hausa-con-evid16,disj-nspk-sta-inc-mod,na,hausa-con-11b,felicitous,1,
hausa-con-evid17,disj-nspk-epi-q-mod,na,hausa-con-12,felicitous,1,
hausa-con-evid18,disj-nspk-epi-q-mod,na,hausa-con-12b,felicitous,1,
hausa-con-evid19,disj-nspk-sta-inc-q,na,hausa-con-13,felicitous,1,
hausa-con-evid20,disj-nspk-sta-inc-q,na,hausa-con-13b,felicitous,1,
hausa-con-evid21,neither-sta,na,hausa-con-14,felicitous,1,
hausa-con-evid22,neither-epi,na,hausa-con-15,felicitous,1,
hausa-con-evid23,fc,na,hausa-con-16,felicitous,1,
hausa-con-evid24,fc,na,hausa-con-16b,felicitous,1,
hausa-con-evid25,negative,na,hausa-con-17,felicitous,1,
hausa-con-evid26,disj-spk-3,na,hausa-con-1,infelicitous,2,
hausa-con-evid27,disj-nspk-sta-exc-2,na,hausa-con-1,infelicitous,2,
hausa-con-evid28,disj-nspk-sta-inc-2,na,hausa-con-1,infelicitous,2,
hausa-con-evid29,neither-sta-2,na,hausa-con-1,infelicitous,2,
hausa-con-evid30,conj-contrast-sta-mod,na,hausa-2-con-3,infelicitous,2,comment: would need “amma”
hausa-con-evid31,disj-spk-4-prime,na,hausa-con-3,infelicitous,2,
hausa-con-evid32,disj-nspk-sta-exc-3,na,hausa-con-3,infelicitous,2,comment: would need something like “wataƙila” (‘maybe’)
hausa-con-evid33,disj-nspk-sta-inc-3,na,hausa-con-3,infelicitous,2,"comment: see above, also: it would be “ko” instead of “amma”"
hausa-con-evid34,neither-sta-3,na,hausa-con-3,infelicitous,2,
hausa-con-evid35,conj-contrast-negp-sta,na,hausa-2-con-4,felicitous,2,comment: that works
hausa-con-evid36,conj-contrast-negp-epi,na,hausa-2-con-4b,infelicitous,2,comment: needs “amma”
hausa-con-evid37,conj-nocontrast-sta,na,hausa-2-con-4c,infelicitous,2,
hausa-con-evid38,disj-spk-2,na,hausa-2-con-5,infelicitous,2,
hausa-con-evid39,conj-nocontrast-sta-2,na,hausa-con-8,infelicitous,2,
hausa-con-evid40,conj-nocontrast-sta-2,na,hausa-con-8b,infelicitous,2,
hausa-con-evid41,conj-nocontrast-sta-2,na,hausa-2-con-8,infelicitous,2,Comment: sounds like a question
hausa-con-evid42,conj-nocontrast-sta-2,na,hausa-2-con-8b,infelicitous,2,comment: also sounds more like a question
hausa-con-evid43,conj-contrast-sta-2,na,hausa-con-8,infelicitous,2,
hausa-con-evid44,conj-contrast-sta-2,na,hausa-con-8b,infelicitous,2,
hausa-con-evid45,conj-contrast-sta-2,na,hausa-2-con-8,infelicitous,2,
hausa-con-evid46,conj-contrast-sta-2,na,hausa-2-con-8b,infelicitous,2,
hausa-con-evid47,disj-nspk-sta-exc-4,na,hausa-con-8,felicitous,2,
hausa-con-evid48,disj-nspk-sta-exc-4,na,hausa-con-8b,felicitous,2,
hausa-con-evid49,disj-nspk-sta-exc-4,na,hausa-2-con-8,?,2,Comment: true but sound more like questions
hausa-con-evid50,disj-nspk-sta-exc-4,na,hausa-2-con-8b,?,2,Comment: true but sound more like questions
hausa-con-evid51,disj-nspk-sta-inc-4,na,hausa-con-8,felicitous,2,
hausa-con-evid52,disj-nspk-sta-inc-4,na,hausa-con-8b,felicitous,2,
hausa-con-evid53,disj-nspk-sta-inc-4,na,hausa-2-con-8,?,2,
hausa-con-evid54,disj-nspk-sta-inc-4,na,hausa-2-con-8b,?,2,
hausa-con-evid55,neither-sta-4,na,hausa-con-8,infelicitous,2,
hausa-con-evid56,neither-sta-4,na,hausa-con-8b,infelicitous,2,
hausa-con-evid57,neither-sta-4,na,hausa-2-con-8,infelicitous,2,
hausa-con-evid58,neither-sta-4,na,hausa-2-con-8b,infelicitous,2,
hausa-con-evid59,disj-nspk-sta-exc,na,hausa-2-con-9,infelicitous,2,
hausa-con-evid60,disj-nspk-epi-q-mod,na,hausa-con-12,felicitous,2,
hausa-con-evid61,disj-nspk-epi-q-mod,na,hausa-con-12b,felicitous,2,
hausa-con-evid62,disj-nspk-epi-q-mod,na,hausa-2-con-13,?,2,
hausa-con-evid63,disj-nspk-epi-q-mod,na,hausa-2-con-13b,?,2,
hausa-con-evid64,neither-sta,na,hausa-2-con-14,felicitous,2,that’s ok 
hausa-con-evid65,conj-nocontrast-sta-3,na,hausa-con-14,infelicitous,2,
hausa-con-evid66,conj-contrast-sta-3,na,hausa-con-14,infelicitous,2,
hausa-con-evid67,disj-spk-5,na,hausa-con-14,infelicitous,2,
hausa-con-evid68,disj-nspk-sta-exc-5,na,hausa-con-14,infelicitous,2,
