expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
lae,lae,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"THAI_EVD_001,THAI_EVD_002",neither,
lae,lae,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,THAI_EVD_005,neither,
lae,lae,disj-spk,0,0,,1,0,1,0,0,0,"THAI_EVD_045,THAI_EVD_046,THAI_EVD_058,THAI_EVD_059",neither,
lae,lae,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"THAI_EVD_048,THAI_EVD_049",neither,
lae,lae,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"THAI_EVD_051,THAI_EVD_052",neither,
lae,lae,neither-sta,0,1,,1,0,0,0,0,0,"THAI_EVD_054,THAI_EVD_055",neither,
lae,lae,disj-nspk-epi-exc,0,0,,0,0,0,0,0,1,"THAI_EVD_060,THAI_EVD_061",neither,
lae,lae,disj-nspk-epi-inc,?,0,,0,0,0,0,0,1,"THAI_EVD_062,THAI_EVD_063",neither,
lae,lae,neither-epi,0,1,,0,0,0,0,0,1,"THAI_EVD_064,THAI_EVD_065",neither,
gub,gub,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"THAI_EVD_003,THAI_EVD_004",neither,
gub,gub,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,THAI_EVD_006,neither,
gub,gub,disj-spk,0,0,,1,0,1,0,0,0,"THAI_EVD_047,THAI_EVD_059",neither,
gub,gub,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,THAI_EVD_050,neither,
gub,gub,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,THAI_EVD_053,neither,
gub,gub,neither-sta,0,1,,1,0,0,0,0,0,THAI_EVD_056,neither,
gub,gub,disj-nspk-epi-exc,0,0,,0,0,0,0,0,1,THAI_EVD_061,neither,
gub,gub,disj-nspk-epi-inc,?,0,,0,0,0,0,0,1,THAI_EVD_063,neither,
gub,gub,neither-epi,0,1,,0,0,0,0,0,1,THAI_EVD_065,neither,
dae,dae,conj-contrast-sta,1,0,1,1,0,1,0,0,1,THAI_EVD_007,neither,
dae,dae,conj-contrast-epi,1,0,1,0,0,1,0,0,1,THAI_EVD_008,neither,
dae,dae,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"THAI_EVD_009,THAI_EVD_010,THAI_EVD_011,THAI_EVD_012",neither,
dae,dae,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,"THAI_EVD_013,THAI_EVD_014,THAI_EVD_015,THAI_EVD_016",neither,
dae,dae,disj-spk,0,0,,1,0,1,0,0,0,THAI_EVD_067,neither,
dae,dae,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,THAI_EVD_068,neither,
dae,dae,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,THAI_EVD_069,neither,
dae,dae,neither-sta,0,1,,1,0,0,0,0,0,THAI_EVD_070,neither,
rue,rue,disj-spk,0,0,,1,0,1,0,0,1,"THAI_EVD_017,THAI_EVD_018,THAI_EVD_021",neither,
rue,rue,disj-nspk-epi,0,0,1,0,0,0,0,0,1,THAI_EVD_023,neither,
rue,rue,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"THAI_EVD_025,THAI_EVD_026",neither,
rue,rue,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"THAI_EVD_029,THAI_EVD_030,THAI_EVD_083,THAI_EVD_084",neither,
rue,rue,disj-nspk-q,0,0,1,0,0,0,1,0,1,"THAI_EVD_031,THAI_EVD_032,THAI_EVD_033,THAI_EVD_034,THAI_EVD_091,THAI_EVD_092",neither,
rue,rue,fc,0,0,,0,0,0,0,1,1,"THAI_EVD_040,THAI_EVD_101",neither,
rue,rue,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,THAI_EVD_077,neither,
rue,rue,conj-contrast-sta,1,0,1,1,0,1,0,0,0,THAI_EVD_079,neither,
rue,rue,neither-sta,0,0,,1,0,0,0,0,0,THAI_EVD_087,neither,
mai gor,mai gor,disj-spk,0,0,,1,0,1,0,0,1,"THAI_EVD_019,THAI_EVD_020,THAI_EVD_022",above,
mai gor,mai gor,disj-nspk-epi,0,0,1,0,0,0,0,0,1,THAI_EVD_024,above,
mai gor,mai gor,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"THAI_EVD_027,THAI_EVD_028,THAI_EVD_082",above,
mai gor,mai gor,disj-nspk-q,0,0,1,0,0,0,1,0,1,"THAI_EVD_093,THAI_EVD_094",above,
mai gor,mai gor,fc,0,0,,0,0,0,0,1,1,"THAI_EVD_041,THAI_EVD_102",above,
mai gor,mai gor,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"THAI_EVD_085,THAI_EVD_086",above,
mai gor,mai gor,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,THAI_EVD_078,above,
mai gor,mai gor,conj-contrast-sta,1,0,1,1,0,1,0,0,0,THAI_EVD_080,above,
mai gor,mai gor,neither-sta,0,0,,1,0,0,0,0,0,THAI_EVD_088,above,
lae,mai lae mai,neither-sta,0,1,,1,0,0,0,0,1,THAI_EVD_035,below,
lae,mai lae mai,neither-epi,0,1,,0,1,0,0,0,1,"THAI_EVD_036,THAI_EVD_037,THAI_EVD_038,THAI_EVD_039",below,
lae,mai lae mai,negative,0,1,,1,,0,0,0,1,THAI_EVD_042,below,
lae,mai lae mai,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,THAI_EVD_096,below,
lae,mai lae mai,conj-contrast-sta,1,0,1,1,0,1,0,0,0,THAI_EVD_097,below,
