expression,full_form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
-de,-de,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,jp_ev_001,neither,
-de,-de,conj-contrast-sta,1,0,1,1,0,1,0,0,1,jp_ev_042,neither,
-de,-de,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_047,neither,
-de,-de,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_052,neither,
-de,-de,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_057,neither,
katsu,-de katsu,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,jp_ev_002,neither,
katsu,-de katsu,conj-contrast-sta,1,0,1,1,0,1,0,0,1,jp_ev_043,neither,
katsu,-de katsu,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_048,neither,
katsu,-de katsu,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_053,neither,
katsu,-de katsu,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_058,neither,
mata,-de mata,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,jp_ev_003,neither,
mata,-de mata,conj-contrast-sta,1,0,1,1,0,1,0,0,1,jp_ev_044,neither,
mata,-de mata,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_049,neither,
mata,-de mata,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_054,neither,
mata,-de mata,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_059,neither,
soshite,-de soshite,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,jp_ev_004,neither,
soshite,-de soshite,conj-contrast-sta,1,0,1,1,0,1,0,0,1,jp_ev_045,neither,
soshite,-de soshite,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_050,neither,
soshite,-de soshite,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_055,neither,
soshite,-de soshite,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_060,neither,
sorekara,-de sorekara,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,jp_ev_005,neither,
sorekara,-de sorekara,conj-contrast-sta,1,0,1,1,0,1,0,0,1,jp_ev_046,neither,
sorekara,-de sorekara,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_051,neither,
sorekara,-de sorekara,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,jp_ev_056,neither,
sorekara,-de sorekara,neither-sta,0,1,,1,0,0,0,0,0,jp_ev_061,neither,
-shi,-shi,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,jp_ev_006,neither,
-shi,-shi,conj-contrast-epi,1,0,1,0,0,1,0,0,1,jp_ev_062,neither,
-shi,-shi,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_064,neither,
-shi,-shi,disj-nspk-epi-exc,0,0,,0,0,0,0,0,0,jp_ev_066,neither,
-shi,-shi,neither-epi,0,1,,0,1,0,0,0,0,jp_ev_068,neither,
mata,-shi mata,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,jp_ev_007,neither,
mata,-shi mata,conj-contrast-epi,1,0,1,0,0,1,0,0,1,jp_ev_063,neither,
mata,-shi mata,disj-spk,0,0,,1,0,1,0,0,0,jp_ev_065,neither,
mata,-shi mata,disj-nspk-epi-exc,0,0,,0,0,0,0,0,0,jp_ev_067,neither,
mata,-shi mata,neither-epi,0,1,,0,1,0,0,0,0,jp_ev_069,neither,
