expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
…ya da …,…ya da…,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"TRK_EVD_097,TRK_EVD_098,TRK_EVD_099,TRK_EVD_100",neither,None
…ya da …,…ya da…,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"TRK_EVD_081,TRK_EVD_082,TRK_EVD_083,TRK_EVD_084",neither,None
…ya da …,…ya da…,disj-nspk-sta-exc,0,0,None,1,0,0,0,0,1,"TRK_EVD_108,TRK_EVD_109,TRK_EVD_110,TRK_EVD_111",neither,None
…ya da …,…ya da…,disj-nspk-sta-inc,?,0,None,1,0,0,0,0,1,"TRK_EVD_119,TRK_EVD_120,TRK_EVD_121,TRK_EVD_122,TRK_EVD_126,TRK_EVD_127,TRK_EVD_128,TRK_EVD_129",neither,None
…ya da …,…ya da…,disj-spk,0,0,None,1,0,1,0,0,1,TRK_EVD_023,neither,None
…ya da …,…ya da…,fc,0,0,None,0,0,0,0,1,0,"TRK_EVD_034,TRK_EVD_035",neither,None
…ya da …,…ya da…,neither-sta,0,1,None,1,0,0,0,0,0,"TRK_EVD_133,TRK_EVD_134,TRK_EVD_135,TRK_EVD_136",neither,None
∅,∅,conj-contrast-sta,1,0,1,1,0,1,0,0,1,TRK_EVD_063,neither,None
∅,∅,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"TRK_EVD_010,TRK_EVD_011",neither,None
∅,∅,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"TRK_EVD_001,TRK_EVD_002,TRK_EVD_003,TRK_EVD_004,TRK_EVD_005,TRK_EVD_006,TRK_EVD_037,TRK_EVD_038",neither,None
∅,∅,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,TRK_EVD_030,neither,None
∅,∅,disj-nspk-q-inc,?,0,None,1,0,0,1,0,1,TRK_EVD_032,neither,None
∅,∅,disj-spk,0,0,None,1,0,1,0,0,0,TRK_EVD_080,neither,None
ama,ama,conj-contrast-epi,1,0,1,0,0,1,0,0,1,TRK_EVD_018,neither,None
ama,ama,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,TRK_EVD_021,neither,None
ama,ama,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,"TRK_EVD_019,TRK_EVD_020",neither,None
ama,ama,conj-contrast-sta,1,0,1,1,0,1,0,0,1,"TRK_EVD_014,TRK_EVD_015,TRK_EVD_016,TRK_EVD_017",neither,None
ama,ama,disj-nspk-sta-exc,0,0,None,1,0,0,0,0,0,"TRK_EVD_068,TRK_EVD_069,TRK_EVD_070,TRK_EVD_071",neither,None
ama,ama,disj-nspk-sta-inc,?,0,None,1,0,0,0,0,0,"TRK_EVD_072,TRK_EVD_073,TRK_EVD_074,TRK_EVD_075",neither,None
ama,ama,disj-spk,0,0,None,1,0,1,0,0,0,"TRK_EVD_064,TRK_EVD_065,TRK_EVD_066,TRK_EVD_067",neither,None
ama,ama,neither-sta,0,1,None,1,0,0,0,0,0,"TRK_EVD_076,TRK_EVD_077,TRK_EVD_078,TRK_EVD_079",neither,None
hem…hem…de,hem…hem…de,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"TRK_EVD_001,TRK_EVD_002",neither,None
hem…hem…de,hem…hem…de,disj-nspk-sta-exc,0,0,None,1,0,0,0,0,0,"TRK_EVD_045,TRK_EVD_046,TRK_EVD_047,TRK_EVD_048,TRK_EVD_049,TRK_EVD_050",neither,None
hem…hem…de,hem…hem…de,disj-nspk-sta-inc,?,0,None,1,0,0,0,0,0,"TRK_EVD_051,TRK_EVD_052,TRK_EVD_053,TRK_EVD_054,TRK_EVD_055,TRK_EVD_056",neither,None
hem…hem…de,hem…hem…de,disj-spk,0,0,None,1,0,1,0,0,0,"TRK_EVD_039,TRK_EVD_040",neither,None
hem…hem…de,hem…hem…de,neither-sta,0,1,None,1,0,0,0,0,0,"TRK_EVD_057,TRK_EVD_058,TRK_EVD_059,TRK_EVD_060,TRK_EVD_061,TRK_EVD_062",neither,None
ile,ile,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"TRK_EVD_012,TRK_EVD_013",neither,None
ve,ve,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,TRK_EVD_010,neither,None
ve,ve,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"TRK_EVD_003,TRK_EVD_004,TRK_EVD_005,TRK_EVD_006",neither,None
ve,ve,disj-nspk-sta-exc,0,0,None,1,0,0,0,0,0,"TRK_EVD_045,TRK_EVD_046,TRK_EVD_047,TRK_EVD_048,TRK_EVD_049,TRK_EVD_050",neither,None
ve,ve,disj-nspk-sta-inc,?,0,None,1,0,0,0,0,0,"TRK_EVD_051,TRK_EVD_052,TRK_EVD_053,TRK_EVD_054,TRK_EVD_055,TRK_EVD_056",neither,None
ve,ve,disj-spk,0,0,None,1,0,1,0,0,0,"TRK_EVD_041,TRK_EVD_042,TRK_EVD_043,TRK_EVD_044",neither,None
veya,veya,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"TRK_EVD_104,TRK_EVD_105,TRK_EVD_106,TRK_EVD_107",neither,None
veya,veya,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"TRK_EVD_088,TRK_EVD_089,TRK_EVD_090,TRK_EVD_091",neither,None
veya,veya,disj-nspk-sta-exc,0,0,None,1,0,0,0,0,1,"TRK_EVD_115,TRK_EVD_116,TRK_EVD_117,TRK_EVD_118",neither,None
veya,veya,disj-spk,0,0,None,1,0,1,0,0,?,"TRK_EVD_024,TRK_EVD_094",neither,Conflicting evidence found for this context type.
veya,veya,fc,0,0,None,0,0,0,0,1,1,TRK_EVD_151,neither,None
veya,veya,neither-sta,0,1,None,1,0,0,0,0,0,"TRK_EVD_140,TRK_EVD_141,TRK_EVD_142,TRK_EVD_143",neither,None
ya…ya da…,ya…ya da…,conj-contrast-sta,1,0,1,1,0,1,0,0,0,"TRK_EVD_101,TRK_EVD_102,TRK_EVD_103",neither,None
ya…ya da…,ya…ya da…,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"TRK_EVD_085,TRK_EVD_086,TRK_EVD_087",neither,None
ya…ya da…,ya…ya da…,disj-nspk-epi,0,0,1,0,0,0,0,0,1,TRK_EVD_026,neither,None
ya…ya da…,ya…ya da…,disj-nspk-sta-exc,0,0,None,1,0,0,0,0,1,"TRK_EVD_028,TRK_EVD_112,TRK_EVD_113,TRK_EVD_114",neither,None
ya…ya da…,ya…ya da…,disj-nspk-sta-inc,?,0,None,1,0,0,0,0,0,"TRK_EVD_029,TRK_EVD_123,TRK_EVD_124,TRK_EVD_125",neither,None
ya…ya da…,ya…ya da…,disj-spk,0,0,None,1,0,1,0,0,1,"TRK_EVD_022,TRK_EVD_025",neither,None
ya…ya da…,ya…ya da…,fc,0,0,None,0,0,0,0,1,1,"TRK_EVD_036,TRK_EVD_149",neither,None
ya…ya da…,ya…ya da…,neither-sta,0,1,None,1,0,0,0,0,0,"TRK_EVD_137,TRK_EVD_138,TRK_EVD_139",neither,None
yoksa,yoksa,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"TRK_EVD_095,TRK_EVD_096",neither,None
yoksa,yoksa,disj-nspk-epi,0,0,1,0,0,0,0,0,1,TRK_EVD_027,neither,None
yoksa,yoksa,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,TRK_EVD_031,neither,None
yoksa,yoksa,disj-nspk-q-inc,?,0,None,1,0,0,1,0,1,TRK_EVD_033,neither,None
yoksa,yoksa,disj-spk,0,0,None,1,0,1,0,0,1,TRK_EVD_095,neither,None
