ref,context,premise,example,judgment,questionnaire,comment
GRK-EVID-001,conj-nocontrast-sta,na,GRK-001,felicitous,1,
GRK-EVID-002,conj-nocontrast-sta,na,GRK-002,felicitous,1,"it’s possible (but it’s not totally ok, the subject of 2nd sentence could be understood as another person). Needs list-like intonation"
GRK-EVID-003,conj-nocontrast-epi,na,GRK-003,felicitous,1,
GRK-EVID-004,conj-nocontrast-epi,na,GRK-004,felicitous,1,
GRK-EVID-005,conj-contrast-sta-mod,na,GRK-004,felicitous,1,
GRK-EVID-006,conj-contrast-sta-mod,na,GRK-005,felicitous,1,
GRK-EVID-007,conj-contrast-epi,na,GRK-006,felicitous,1,
GRK-EVID-008,conj-contrast-epi,na,GRK-007,felicitous,1,
GRK-EVID-009,conj-contrast-negp-sta,na,GRK-008,felicitous,1,
GRK-EVID-010,conj-contrast-negp-sta,na,GRK-009,felicitous,1,
GRK-EVID-011,conj-contrast-negp-sta,na,GRK-010,felicitous,1,
GRK-EVID-012,conj-contrast-negp-epi,na,GRK-011,felicitous,1,
GRK-EVID-013,conj-contrast-negp-epi,na,GRK-012,felicitous,1,
GRK-EVID-014,disj-spk-1,na,GRK-013,felicitous,1,
GRK-EVID-015,disj-spk-1,na,GRK-014,felicitous,1,like ‘either…or…’ in English
GRK-EVID-016,disj-spk-2,na,GRK-015,felicitous,1,
GRK-EVID-017,disj-spk-2,na,GRK-016,felicitous,1,
GRK-EVID-018,disj-nspk-epi,na,GRK-017,felicitous,1,
GRK-EVID-019,disj-nspk-epi,na,GRK-018,felicitous,1,
GRK-EVID-020,disj-nspk-sta-exc-mod,na,GRK-019,felicitous,1,"if we use ‘ite’ here, it will cancel the implicature that John is both"
GRK-EVID-021,disj-nspk-sta-exc-mod,na,GRK-020,felicitous,1,"if we use ‘ite’ here, it will cancel the implicature that John is both"
GRK-EVID-022,disj-nspk-sta-inc-mod,na,GRK-019,felicitous,1,
GRK-EVID-023,disj-nspk-sta-inc-mod,na,GRK-020,felicitous,1,
GRK-EVID-024,disj-nspk-epi-q-mod,na,GRK-021,felicitous,1,
GRK-EVID-025,disj-nspk-sta-inc-q,na,GRK-022,felicitous,1,
GRK-EVID-026,neither-sta,na,GRK-023,felicitous,1,dhen is obligatory if ute is dropped in the first conjunct.
GRK-EVID-027,neither-sta,na,GRK-024,felicitous,1,dhen is obligatory if ute is dropped in the first conjunct.
GRK-EVID-028,neither-sta,na,GRK-025,felicitous,1,dhen is obligatory if ute is dropped in the first conjunct.
GRK-EVID-029,neither-sta,na,GRK-026,felicitous,1,dhen is obligatory if ute is dropped in the first conjunct.
GRK-EVID-030,neither-sta,na,GRK-027,*,1,
GRK-EVID-031,neither-sta,na,GRK-028,felicitous,1,"if we drop 'dhen', the word order will change"
GRK-EVID-032,neither-sta,na,GRK-029,felicitous,1,
GRK-EVID-033,neither-epi,na,GRK-030,felicitous,1,
GRK-EVID-034,neither-epi,na,GRK-031,felicitous,1,
GRK-EVID-035,fc,na,GRK-032,felicitous,1,
GRK-EVID-036,fc,na,GRK-033,felicitous,1,"Intonation determines whether the sentence has an exclusivity inference. Without a stress on ‘i, the particle effectively functions as a conjunction."
GRK-EVID-037,fc,na,GRK-034,felicitous,1,"Intonation determines whether the sentence has an exclusivity inference. Without a stress on ‘i, the particle effectively functions as a conjunction."
GRK-EVID-038,conj-nocontrast-sta,na,GRK-038,?,2,"Preferable to use a connective. With a list-like intonation with multiple conjuncts continuing after “daskala”, it may be natural. In general the juxtaposition case is dispreferred."
GRK-EVID-039,disj-spk-3,na,GRK-001,infelicitous,2,
GRK-EVID-040,disj-nspk-sta-exc-2,na,GRK-001,infelicitous,2,The sentence may be felicitous if it is embedded under “I guess” or I think
