ref,expression,full form,words,glosses,translation,comment,questionnaire
THAI_001,lae,lae,Susie bpen moor lae bpen ajarn,Susie COP doctor and COP teacher,Susie is a doctor and she is a teacher.,,Q1
THAI_002,lae,lae,Susie bpen moor lae ajarn,Susie COP doctor and teacher,Susie is a doctor and she is a teacher.,,Q1
THAI_003,gub,gub,Susie bpen moor gub bpen ajarn,Susie COP doctor and COP teacher,Susie is a doctor and she is a teacher.,“gub” is normally translated as “with”/ ”together”,Q1
THAI_004,gub,gub,Susie bpen moor gub ajarn,Susie COP doctor and teacher,Susie is a doctor and she is a teacher.,“gub” is normally translated as “with”/ ”together”; with the second one you wouldn’t use a copular,Q1
THAI_005,lae,lae,Paul kalang doo TV lae leed ser-paa yuu,Paul CONT watch TV and iron shirts CONT,Paul is watching TV and he is ironing his shirts.,,Q1
THAI_006,gub,gub,Paul kalang doo TV gub leed ser-paa yuu,Paul CONT watch TV and iron shirts CONT,Paul is watching TV and he is ironing his shirts.,“gub” is normally translated as “with”/ ”together”,Q1
THAI_007,dae,dae,Susie bpen moor dae khao mai mee dang,Susie COP doctor but 3.SG NEG have money,Susie is a doctor but she is poor.,"Yaang rai gor dam - “however”; more formal alternative, could replace “dae” in the same position",Q1
THAI_008,dae,dae,Jen ser aidim dae khao ser hai kon-blaek-naa,Jen buy ice-cream but 3.SG buy give stranger,Jen bought ice cream but she bought it for a stranger.,,Q1
THAI_009,dae,dae,Paul mai bpen moor dae panak-ngarn-dorn-lap,Paul NEG COP doctor but receptionist,Paul is not a doctor but he is a receptionist.,,Q1
THAI_010,dae,dae,Paul mai dai bpen moor dae panak-ngarn-dorn-lap,Paul NEG MOD COP doctor but receptionist,Paul is not a doctor but he is a receptionist.,,Q1
THAI_011,dae,dae,Paul mai bpen moor dae khao bpen panak-ngarn-dorn-lap,Paul NEG COP doctor but 3.SG COP receptionist,Paul is not a doctor but he is a receptionist.,,Q1
THAI_012,dae,dae,Paul mai dai bpen moor dae khao bpen panak-ngarn-dorn-lap,Paul NEG MOD COP doctor but 3.SG COP receptionist,Paul is not a doctor but he is a receptionist.,,Q1
THAI_013,dae,dae,Jen mai ser aidim dae ser chocolate,Jen NEG buy ice-cream but buy chocolate,Jen didn’t buy ice cream but she bought chocolate.,you can’t omit the verb ( ser ) in this context,Q1
THAI_014,dae,dae,Jen mai dai ser aidim dae ser chocolate,Jen NEG MOD buy ice-cream but buy chocolate,Jen didn’t buy ice cream but she bought chocolate.,you can’t omit the verb ( ser ) in this context,Q1
THAI_015,dae,dae,Jen mai ser aidim dae khao ser chocolate,Jen NEG buy ice-cream but 3.SG buy chocolate,Jen didn’t buy ice cream but she bought chocolate.,,Q1
THAI_016,dae,dae,Jen mai dai ser aidim dae khao ser chocolate,Jen NEG MOD buy ice-cream but 3.SG buy chocolate,Jen didn’t buy ice cream but she bought chocolate.,,Q1
THAI_017,rue,rue,Kam-dorb ker A rue B,answer COP A or B,(Either) the answer to the question is A or the answer to the question is B.,,Q1
THAI_018,rue,rue,Kam-dorb ker A rue kam-dorb ker B,answer COP A or answer COP B,(Either) the answer to the question is A or the answer to the question is B.,,Q1
THAI_019,mai gor,mai gor,Kam-dorb ker A mai gor B,Answer COP a NEG also B,(Either) the answer to the question is A or the answer to the question is B.,,Q1
THAI_020,mai gor,mai gor,Kam-dorb ker A mai gor kam-dorb ker B,Answer COP a NEG also answer COP B,(Either) the answer to the question is A or the answer to the question is B.,,Q1
THAI_021,rue,rue,Paul bpen moor rue John bpen moor,Paul COP doctor or John COP doctor,(Either) Paul is a doctor or John is a doctor.,,Q1
THAI_022,mai gor,mai gor,Paul bpen moor mai gor John bpen moor,Paul COP doctor NEG also John COP doctor,(Either) Paul is a doctor or John is a doctor.,,Q1
THAI_023,rue,rue,Chan luerm tolosap tii ngarn rue tam lon dorn gub baan,1.SG forgot phone LOC work or do drop when return home,I left my phone at work or I dropped it on my way home.,,Q1
THAI_024,mai gor,mai gor,Chan luerm tolosap tii ngarn mai gor tam lon dorn gub baan,1.SG forgot phone LOC work NEG also do drop when return home,I left my phone at work or I dropped it on my way home.,,Q1
THAI_025,rue,rue,John bpen moor rue pukien,John cop doctor or writer,John is a doctor or he is a writer.,,Q1
THAI_026,rue,rue,John bpen moor rue khao bpen pukien,John cop doctor or 3.SG cop writer,John is a doctor or he is a writer.,,Q1
THAI_027,mai gor,mai gor,John bpen moor mai gor pukien,John cop doctor NEG also writer,John is a doctor or he is a writer.,,Q1
THAI_028,mai gor,mai gor,John bpen moor mai gor khao bpen pukien,John cop doctor NEG also 3.SG cop writer,John is a doctor or he is a writer.,,Q1
THAI_029,rue,rue,John bpen moor rue pukien aat tang-soong-an,John cop doctor or writer maybe both,John is a doctor or he is a writer (maybe both).,“mai gor” not possible in this context,Q1
THAI_030,rue,rue,John bpen moor rue khao bpen pukien aat tang-soong-an,John cop doctor or 3.SG cop writer maybe both,John is a doctor or he is a writer (maybe both).,“mai gor” not possible in this context,Q1
THAI_031,rue,rue,Khun luem tolasap tii ngarn rue bon lod may,2.SG forget phone LOC work or on car bus,Did you leave your phone at work or did you leave it on the bus?,you can’t use “mai gor” in questions like this (but see Q2); interrogative just marked by intonation,Q1
THAI_032,rue,rue,Khun luem tolasap tii ngarn rue khun luem bon lod may,2.SG forget phone LOC work or 2.SG forget on car bus,Did you leave your phone at work or did you leave it on the bus?,you can’t use “mai gor” in questions like this (but see Q2); interrogative just marked by intonation,Q1
THAI_033,rue,rue,Laan A ca kay yiihor ni rue Laan B,Shop A MOD sell brand DET or shop B,Would Shop A sell this brand or would Shop B sell this brand?,,Q1
THAI_034,rue,rue,Laan A ca kay yiihor ni rue Laan B ca kay yihor ni,Shop A MOD sell brand DET or shop B MOD sell brand DET,Would Shop A sell this brand or would Shop B sell this brand?,,Q1
THAI_035,lae,mai lae mai,Paul mai chai moor lae mai chai payabaan,Paul NEG COP doctor and NEG COP nurse,Paul is neither a doctor nor is he a nurse.,,Q1
THAI_036,lae,mai lae mai,Mike mai ser aidem lae mai hai nong-sao,Mike NEG buy ice-cream and NEG give younger.sister,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
THAI_037,lae,mai lae mai,Mike mai dai ser aidem lae mai hai nong-sao,Mike NEG MOD buy ice-cream and NEG give younger.sister,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
THAI_038,lae,mai lae mai,Mike mai ser aidem lae khao mai hai nong-sao,Mike NEG buy ice-cream and 3.SG NEG give younger.sister,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
THAI_039,lae,mai lae mai,Mike mai dai ser aidem lae khao mai hai nong-sao,Mike NEG MOD buy ice-cream and 3.SG NEG give younger.sister,Mike didn’t buy ice cream nor did he give it to his sister.,,Q1
THAI_040,rue,rue,Paul luaek gin cupcake dai rue luek gin cookie dai,Paul choose eat cupcake MOD or choose eat cookie MOD,Paul can eat a cupcake or he can eat a cookie.,,Q1
THAI_041,mai gor,mai gor,Paul luaek gin cupcake dai mai gor luek gin cookie dai,Paul choose eat cupcake MOD NEG also choose eat cookie MOD,Paul can eat a cupcake or he can eat a cookie.,,Q1
THAI_042,lae,mai lae mai,Susie mai chai moor lae mai chai nak-wing,Susie NEG COP doctor and NEG COP runner,Susie isn’t a doctor or a runner.,can’t use “or”-morphemes here,Q1
THAI_043,juxtaposition,juxtaposition,"Susie bpen moor , bpen ajarn","Susie COP doctor , COP teacher",Susie is a doctor and she is a teacher.,this needs a connective,Q2
THAI_044,juxtaposition,juxtaposition,"Susie bpen moor , ajarn","Susie COP doctor , teacher",Susie is a doctor and she is a teacher.,this needs a connective,Q2
THAI_045,lae,lae,Susie bpen moor lea bpen ajarn,Susie COP doctor and COP teacher,Susie is a doctor and she is a teacher.,,Q2
THAI_046,lae,lae,Susie bpen moor lea ajarn,Susie COP doctor and teacher,Susie is a doctor and she is a teacher.,,Q2
THAI_047,juxtaposition,juxtaposition,Paul kalang doo TV leed ser-paa yuu,Paul CONT watch TV iron shirts CONT,Paul is watching TV and he is ironing his shirts.,needs a conjunction,Q2
THAI_048,juxtaposition,juxtaposition,Susie bpen moor khao mai mee dang,Susie COP doctor 3.SG NEG have money,Susie is a doctor but she is poor.,"ok, that’s fine (with the pronoun “khao”), but feels a bit like two sentences",Q2
THAI_049,juxtaposition,juxtaposition,"Jen ser aidim , khao ser hai kon-blaek-naa","Jen buy ice-cream , 3.SG buy give stranger","Jen bought an ice-cream, she gave it to a sad-looking person.","ok, that works (“Jen bought an ice-cream, she gave it to a sad-looking person.”)",Q2
THAI_050,juxtaposition,juxtaposition,Paul mai bpen moor khao bpen panak-ngarn-dorn-lap,Paul NEG COP doctor 3.SG COP receptionist,Paul is not a doctor but he is a receptionist.,"ok, but “khao bpen” (pronoun + copular) is mandatory",Q2
THAI_051,juxtaposition,juxtaposition,Paul mai dai bpen moor khao bpen panak-ngarn-dorn-lap,Paul NEG MOD COP doctor 3.SG COP receptionist,Paul is not a doctor but he is a receptionist.,"ok, but “khao bpen” (pronoun + copular) is mandatory",Q2
THAI_052,juxtaposition,juxtaposition,Jen mai ser aidim khao ser chocolate,Jen NEG buy ice-cream 3.SG buy chocolate,Jen didn’t buy ice cream but she bought chocolate.,"ok, that works (with the pronoun “khao”)",Q2
THAI_053,juxtaposition,juxtaposition,Jen mai dai ser aidim khao ser chocolate,Jen NEG MOD buy ice-cream 3.SG buy chocolate,Jen didn’t buy ice cream but she bought chocolate.,"ok, that works (with the pronoun “khao”)",Q2
THAI_054,juxtaposition,juxtaposition,"Paul bpen moor , John bpen moor","Paul COP doctor , John COP doctor",(Either) Paul is a doctor or John is a doctor.,,Q2
THAI_055,rue,rue,Paul bpen moor rue John bpen moor aat tang-soong-an,Paul COP doctor or John COP doctor maybe both,Paul is a doctor or John is a doctor (maybe both).,,Q2
THAI_056,mai gor,mai gor,Paul bpen moor mai gor John bpen moor aat tang-soong-an,Paul COP doctor NEG also John COP doctor maybe both,Paul is a doctor or John is a doctor (maybe both).,,Q2
THAI_057,juxtaposition,juxtaposition,"Chan luerm tolosap tii ngarn , tam lon dorn gub baan","1.SG forgot phone LOC work , do drop when/while return home",I left my phone at work or I dropped it on my way home.,ok if it means sth. like “I forgot it at work whilst going home/ exiting the building”,Q2
THAI_058,juxtaposition,juxtaposition,John bpen moor khao bpen pukien,John COP doctor 3.SG COP writer,John is a doctor or he is a writer.,,Q2
THAI_059,mai gor,mai gor,Khun luem tolasap tii ngarn mai gor bon lod may,2.SG forget phone LOC work NEG also on car bus,Did you leave your phone at work or did you leave it on the bus?,"Both ok, also as an alternative question",Q2
THAI_060,mai gor,mai gor,Khun luem tolasap tii ngarn mai gor khun luem bon lod may,2.SG forget phone LOC work NEG also 2.SG forget on car bus,Did you leave your phone at work or did you leave it on the bus?,"Both ok, also as an alternative question",Q2
THAI_061,juxtaposition,juxtaposition,Paul mai chai moor mai chai payabaan,Paul NEG COP doctor NEG COP nurse,Paul is neither a doctor nor is he a nurse.,unacceptability might have something to do with the copular,Q2
