expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
ve,ve,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,heb_ev_1,neither,
ve,ve,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"heb_ev_3,heb_ev_4",neither,
ve,ve,disj-spk,0,0,,1,0,1,0,0,1,heb_ev_28,neither,
ve,ve,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,heb_ev_29,neither,
ve,ve,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,heb_ev_30,neither,
ve,ve,neither-sta,0,1,,1,0,0,0,0,0,heb_ev_31,neither,
∅,juxtaposition,conj-nocontrast-sta,1,0,0,1,0,1,0,0,?,heb_ev_2,neither,Judgment is '?'
∅,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,0,heb_ev_32,neither,
∅,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,0,heb_ev_37,neither,
∅,juxtaposition,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,heb_ev_38,neither,
∅,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,heb_ev_39,neither,
∅,juxtaposition,disj-spk,0,0,,1,0,1,0,0,0,heb_ev_50,neither,
∅,juxtaposition,disj-nspk-epi,0,0,1,0,0,0,0,0,0,heb_ev_67,neither,
∅,juxtaposition,disj-nspk-sta-exc,0,0,,1,0,0,0,0,?,"heb_ev_68,heb_ev_69",neither,Judgments include '*' and 'infelicitous'
∅,juxtaposition,neither-sta,0,1,,1,0,0,0,0,0,heb_ev_76,neither,
aval,aval,conj-contrast-sta,1,0,1,1,0,1,0,0,1,heb_ev_5,neither,
aval,aval,conj-contrast-epi,1,0,1,0,0,1,0,0,1,heb_ev_6,neither,
aval,aval,disj-spk,0,0,,1,0,1,0,0,0,heb_ev_33,neither,
aval,aval,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,heb_ev_34,neither,
aval,aval,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,heb_ev_35,neither,
aval,aval,neither-sta,0,1,,1,0,0,0,0,0,heb_ev_36,neither,
ela,ela,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,"heb_ev_40,heb_ev_41",neither,
ela,ela,conj-contrast-sta,1,0,1,1,0,1,0,0,0,heb_ev_42,neither,
ela,ela,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,heb_ev_7,neither,
ela,ela,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,heb_ev_8,neither,
ela,ela,disj-spk,0,0,,1,0,1,0,0,0,heb_ev_43,neither,
ela,ela,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,"heb_ev_44,heb_ev_45",neither,
ela,ela,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,"heb_ev_46,heb_ev_47",neither,
ela,ela,neither-sta,0,1,,1,0,0,0,0,0,"heb_ev_48,heb_ev_49",neither,
o...o,o ... o,disj-spk,0,0,,1,0,1,0,0,1,"heb_ev_9,heb_ev_11,heb_ev_12,heb_ev_14",neither,
o...o,o ... o,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,heb_ev_51,neither,
o...o,o ... o,conj-contrast-sta,1,0,1,1,0,1,0,0,0,heb_ev_53,neither,
o...o,o ... o,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,"heb_ev_16,heb_ev_17,heb_ev_55,heb_ev_57",neither,
o...o,o ... o,disj-nspk-sta-inc,?,0,,1,0,0,0,0,?,"heb_ev_59,heb_ev_60,heb_ev_63",neither,Evidence for both felicitous and infelicitous judgments exists.
o...o,o ... o,neither-sta,0,1,,1,0,0,0,0,0,heb_ev_65,neither,
o...o,o ... o,disj-nspk-epi,0,0,1,0,0,0,0,0,1,heb_ev_15,neither,
o...o,o ... o,disj-nspk-q-exc,0,0,1,0,0,0,1,0,0,"heb_ev_72,heb_ev_73,heb_ev_74,heb_ev_75",neither,
o...o,o ... o,fc,0,0,,0,0,0,0,1,?,"heb_ev_25,heb_ev_88",neither,Evidence for both felicitous and infelicitous judgments exists.
o,o,disj-spk,0,0,,1,0,1,0,0,1,"heb_ev_10,heb_ev_13",neither,
o,o,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,heb_ev_52,neither,
o,o,conj-contrast-sta,1,0,1,1,0,1,0,0,0,heb_ev_54,neither,
o,o,disj-nspk-sta-exc,0,0,,1,0,0,0,0,?,"heb_ev_56,heb_ev_58",neither,Judgments include '?' and '?/#'
o,o,disj-nspk-sta-inc,?,0,,1,0,0,0,0,?,"heb_ev_18,heb_ev_61,heb_ev_62,heb_ev_64",neither,Evidence for both felicitous and infelicitous judgments exists.
o,o,neither-sta,0,1,,1,0,0,0,0,0,heb_ev_66,neither,
o,o,disj-nspk-q-exc,0,0,1,0,0,0,1,0,1,"heb_ev_19,heb_ev_20,heb_ev_70,heb_ev_71",neither,
o,o,disj-nspk-q-inc,?,0,,1,0,0,1,0,1,heb_ev_21,neither,
o,o,fc,0,0,,0,0,0,0,1,1,"heb_ev_26,heb_ev_27,heb_ev_87",neither,
ve,lo ... ve-lo,neither-sta,0,1,,1,0,0,0,0,1,heb_ev_22,below,
ve,lo ... ve-lo,neither-epi,0,1,,0,1,0,0,0,1,heb_ev_24,below,
ve,lo ... ve-lo,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,heb_ev_77,below,
ve,lo ... ve-lo,conj-contrast-sta,1,0,1,1,0,1,0,0,0,heb_ev_79,below,
ve,lo ... ve-lo,disj-spk,0,0,,1,0,1,0,0,0,heb_ev_81,below,
ve,lo ... ve-lo,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,heb_ev_83,below,
ve,lo ... ve-lo,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,heb_ev_85,below,
o,lo ... o,neither-sta,0,1,,1,0,0,0,0,1,heb_ev_23,above,
o,lo ... o,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,heb_ev_78,above,
o,lo ... o,conj-contrast-sta,1,0,1,1,0,1,0,0,0,heb_ev_80,above,
o,lo ... o,disj-spk,0,0,,1,0,1,0,0,0,heb_ev_82,above,
o,lo ... o,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,heb_ev_84,above,
o,lo ... o,disj-nspk-sta-inc,?,0,,1,0,0,0,0,0,heb_ev_86,above,
