ref,context,premise,example,judgment,questionnaire,comment
Khmer_evidence_1,conj-nocontrast-sta,na,Khmer_Q1_1,felicitous,Q1,
Khmer_evidence_2,conj-nocontrast-sta,na,Khmer_Q1_2,felicitous,Q1,
Khmer_evidence_3,conj-nocontrast-sta,na,Khmer_Q1_3,felicitous,Q1,check of whether juxtaposition is possible
Khmer_evidence_4,conj-nocontrast-epi,na,Khmer_Q1_4,felicitous,Q1,haj is possible but nangk is better.
Khmer_evidence_5,conj-nocontrast-epi,na,Khmer_Q1_5,felicitous,Q1,haj is possible but nangk is better.
Khmer_evidence_6,conj-contrast-sta-mod,na,Khmer_Q1_6,felicitous,Q1,
Khmer_evidence_7,conj-contrast-sta-mod,na,Khmer_Q1_7,felicitous,Q1,
Khmer_evidence_8,conj-contrast-epi,na,Khmer_Q1_8,felicitous,Q1,
Khmer_evidence_9,conj-contrast-negp-sta,na,Khmer_Q1_9,felicitous,Q1,
Khmer_evidence_10,conj-contrast-negp-epi,na,Khmer_Q1_10,felicitous,Q1,
Khmer_evidence_11,disj-spk-1,na,Khmer_Q1_11,felicitous,Q1,
Khmer_evidence_12,disj-spk-2,na,Khmer_Q1_12,felicitous,Q1,
Khmer_evidence_13,disj-nspk-epi,na,Khmer_Q1_13,felicitous,Q1,
Khmer_evidence_14,disj-nspk-epi,na,Khmer_Q1_14,felicitous,Q1,
Khmer_evidence_15,disj-nspk-sta-exc-mod,na,Khmer_Q1_15,felicitous,Q1,
Khmer_evidence_16,disj-nspk-sta-inc-mod,na,Khmer_Q1_16,felicitous,Q1,
Khmer_evidence_17,disj-nspk-epi-q-mod,na,Khmer_Q1_17,felicitous,Q1,
Khmer_evidence_18,disj-nspk-sta-inc-q,na,Khmer_Q1_18,felicitous,Q1,
Khmer_evidence_19,neither-sta,na,Khmer_Q1_19,felicitous,Q1,
Khmer_evidence_20,neither-epi,na,Khmer_Q1_20,felicitous,Q1,
Khmer_evidence_21,fc,na,Khmer_Q1_21,felicitous,Q1,
Khmer_evidence_22,disj-spk-3,na,Khmer_Q1_1,infelicitous,Q2,
Khmer_evidence_23,disj-spk-3,na,Khmer_Q1_2,infelicitous,Q2,
Khmer_evidence_24,disj-nspk-sta-exc-2,na,Khmer_Q1_1,infelicitous,Q2,
Khmer_evidence_25,disj-nspk-sta-exc-2,na,Khmer_Q1_2,infelicitous,Q2,
Khmer_evidence_26,disj-nspk-sta-inc-2,na,Khmer_Q1_1,infelicitous,Q2,
Khmer_evidence_27,disj-nspk-sta-inc-2,na,Khmer_Q1_2,infelicitous,Q2,
Khmer_evidence_28,neither-sta-2,na,Khmer_Q1_1,infelicitous,Q2,
Khmer_evidence_29,neither-sta-2,na,Khmer_Q1_2,infelicitous,Q2,
Khmer_evidence_30,conj-contrast-sta-mod,na,Khmer_Q1_6,felicitous,Q2,
Khmer_evidence_31,conj-contrast-sta-mod,na,Khmer_Q1_7,felicitous,Q2,
Khmer_evidence_32,conj-contrast-sta-mod,na,Khmer_Q1_22,?(?),Q2,
Khmer_evidence_33,conj-contrast-sta-mod,na,Khmer_Q1_23,?(?),Q2,
Khmer_evidence_34,disj-spk-4-prime,na,Khmer_Q1_6,infelicitous,Q2,
Khmer_evidence_35,disj-spk-4-prime,na,Khmer_Q1_7,infelicitous,Q2,
Khmer_evidence_36,disj-nspk-sta-exc-3,na,Khmer_Q1_6,infelicitous,Q2,
Khmer_evidence_37,disj-nspk-sta-exc-3,na,Khmer_Q1_7,infelicitous,Q2,
Khmer_evidence_38,disj-nspk-sta-inc-3,na,Khmer_Q1_6,infelicitous,Q2,
Khmer_evidence_39,disj-nspk-sta-inc-3,na,Khmer_Q1_7,infelicitous,Q2,
Khmer_evidence_40,neither-sta-3,na,Khmer_Q1_6,infelicitous,Q2,
Khmer_evidence_41,neither-sta-3,na,Khmer_Q1_7,infelicitous,Q2,
Khmer_evidence_42,disj-spk-2,na,Khmer_Q1_12,felicitous,Q2,
Khmer_evidence_43,disj-spk-2,na,Khmer_Q1_24,infelicitous,Q2,
Khmer_evidence_44,conj-nocontrast-sta-2,na,Khmer_Q1_12,infelicitous,Q2,
Khmer_evidence_45,conj-contrast-sta-2,na,Khmer_Q1_12,infelicitous,Q2,
Khmer_evidence_46,disj-nspk-sta-exc-4,na,Khmer_Q1_12,felicitous,Q2,
Khmer_evidence_47,disj-nspk-sta-inc-4,na,Khmer_Q1_12,felicitous,Q2,
Khmer_evidence_48,neither-sta-4,na,Khmer_Q1_12,infelicitous,Q2,
