ref,context,premise,example,judgment,questionnaire,comment
basque_evidence_001,conj-nocontrast-sta,na,basque_001,felicitous,Q1,
basque_evidence_002,conj-nocontrast-sta,na,basque_021,felicitous,Q1,
basque_evidence_003,conj-nocontrast-epi,na,basque_002,felicitous,Q1,
basque_evidence_004,conj-nocontrast-epi,na,basque_003,felicitous,Q1,
basque_evidence_005,conj-nocontrast-epi,na,basque_022,felicitous,Q1,
basque_evidence_006,conj-nocontrast-epi,na,basque_023,felicitous,Q1,
basque_evidence_007,conj-contrast-sta-mod,na,basque_004,felicitous,Q1,
basque_evidence_008,conj-contrast-sta-mod,na,basque_005,felicitous,Q1,
basque_evidence_009,conj-contrast-epi,na,basque_006,felicitous,Q1,
basque_evidence_010,conj-contrast-negp-sta,na,basque_007,felicitous,Q1,
basque_evidence_011,conj-contrast-negp-sta,na,basque_008,felicitous,Q1,
basque_evidence_012,conj-contrast-negp-epi,na,basque_009,felicitous,Q1,
basque_evidence_013,conj-contrast-negp-epi,na,basque_010,felicitous,Q1,
basque_evidence_014,disj-spk-1,na,basque_011,felicitous,Q1,
basque_evidence_015,disj-spk-2,na,basque_012,felicitous,Q1,
basque_evidence_016,disj-spk-2,na,basque_013,felicitous,Q1,
basque_evidence_017,disj-nspk-epi,na,basque_016,felicitous,Q1,
basque_evidence_018,disj-nspk-sta-exc-mod,na,basque_017,felicitous,Q1,
basque_evidence_019,disj-nspk-sta-inc-mod,na,basque_017,felicitous,Q1,"Original sentence includes ""(agian biak)""."
basque_evidence_020,disj-nspk-epi-q-mod,na,basque_014,felicitous,Q1,
basque_evidence_021,disj-nspk-sta-inc-q,na,basque_018,felicitous,Q1,
basque_evidence_022,neither-sta,na,basque_019,felicitous,Q1,
basque_evidence_023,neither-epi,na,basque_020,felicitous,Q1,
basque_evidence_024,fc,na,basque_015,felicitous,Q1,
basque_evidence_025,conj-nocontrast-sta,na,basque_021,felicitous,Q2,"Not the most natural way to express this, but it is in principle possible."
basque_evidence_026,disj-spk-3,na,basque_001,infelicitous,Q2,The speaker would be lying in this case.
basque_evidence_027,disj-nspk-sta-exc-2,na,basque_001,infelicitous,Q2,
basque_evidence_028,disj-nspk-sta-inc-2,na,basque_001,infelicitous,Q2,
basque_evidence_029,neither-sta-2,na,basque_001,infelicitous,Q2,
basque_evidence_030,conj-contrast-sta-mod,na,basque_024,felicitous,Q2,In principle possible but it’s a strange way to express it.
basque_evidence_031,conj-contrast-sta-mod,na,basque_025,felicitous,Q2,In principle possible but it’s a strange way to express it.
basque_evidence_032,disj-spk-4-prime,na,basque_004,infelicitous,Q2,
basque_evidence_033,disj-spk-4-prime,na,basque_005,infelicitous,Q2,
basque_evidence_034,disj-nspk-sta-exc-3,na,basque_004,infelicitous,Q2,
basque_evidence_035,disj-nspk-sta-exc-3,na,basque_005,infelicitous,Q2,
basque_evidence_036,disj-nspk-sta-inc-3,na,basque_004,infelicitous,Q2,
basque_evidence_037,disj-nspk-sta-inc-3,na,basque_005,infelicitous,Q2,
basque_evidence_038,neither-sta-3,na,basque_004,infelicitous,Q2,
basque_evidence_039,neither-sta-3,na,basque_005,infelicitous,Q2,
basque_evidence_040,conj-contrast-negp-sta,na,basque_026,felicitous,Q2,"These examples are better and more natural than the other juxtaposition examples, presumably because of the contrast."
basque_evidence_041,conj-contrast-negp-epi,na,basque_027,felicitous,Q2,"These examples are better and more natural than the other juxtaposition examples, presumably because of the contrast."
basque_evidence_042,conj-nocontrast-sta,na,basque_032,*,Q2,"For baizik to be possible, an overt contrast in the form of negation is necessary in the initial clause."
basque_evidence_043,conj-nocontrast-sta,na,basque_033,*,Q2,"For baizik to be possible, an overt contrast in the form of negation is necessary in the initial clause."
basque_evidence_044,conj-contrast-sta-mod,na,basque_034,*,Q2,
basque_evidence_045,conj-contrast-sta-mod,na,basque_035,*,Q2,
basque_evidence_046,conj-contrast-sta-mod,na,basque_036,*,Q2,
basque_evidence_047,conj-contrast-sta-mod,na,basque_037,*,Q2,
basque_evidence_048,disj-spk-2,na,basque_038,*,Q2,
basque_evidence_049,disj-spk-2,na,basque_039,*,Q2,
basque_evidence_050,disj-spk-2,na,basque_040,*,Q2,
basque_evidence_051,disj-spk-2,na,basque_041,*,Q2,
basque_evidence_052,disj-nspk-sta-exc-mod,na,basque_042,*,Q2,
basque_evidence_053,disj-nspk-sta-exc-mod,na,basque_043,*,Q2,
basque_evidence_054,disj-nspk-sta-inc-mod,na,basque_042,*,Q2,
basque_evidence_055,disj-nspk-sta-inc-mod,na,basque_043,*,Q2,
basque_evidence_056,neither-sta,na,basque_044,*,Q2,
basque_evidence_057,neither-sta,na,basque_045,*,Q2,
basque_evidence_058,disj-spk-2,na,basque_028,infelicitous,Q2,
basque_evidence_059,disj-spk-2,na,basque_029,infelicitous,Q2,
basque_evidence_060,conj-nocontrast-sta-2,na,basque_012,infelicitous,Q2,
basque_evidence_061,conj-nocontrast-sta-2,na,basque_013,infelicitous,Q2,
basque_evidence_062,conj-contrast-sta-2,na,basque_012,infelicitous,Q2,
basque_evidence_063,conj-contrast-sta-2,na,basque_013,infelicitous,Q2,
basque_evidence_064,disj-nspk-sta-exc-4,na,basque_012,?✓,Q2,"in this context, the second version (focus construction) is better."
basque_evidence_065,disj-nspk-sta-exc-4,na,basque_013,felicitous,Q2,"in this context, the second version (focus construction) is better."
basque_evidence_066,disj-nspk-sta-inc-4,na,basque_012,infelicitous,Q2,
basque_evidence_067,disj-nspk-sta-inc-4,na,basque_013,infelicitous,Q2,
basque_evidence_068,neither-sta-4,na,basque_012,infelicitous,Q2,
basque_evidence_069,neither-sta-4,na,basque_013,infelicitous,Q2,
basque_evidence_070,disj-nspk-epi,na,basque_030,infelicitous,Q2,
basque_evidence_071,disj-nspk-sta-exc-mod,na,basque_031,infelicitous,Q2,
basque_evidence_072,disj-nspk-epi,na,basque_046,infelicitous,Q2,
basque_evidence_073,disj-nspk-sta-exc-mod,na,basque_047,infelicitous,Q2,
basque_evidence_074,disj-nspk-sta-inc-mod,na,basque_047,infelicitous,Q2,"Original sentence includes ""(agian biak)""."
basque_evidence_075,disj-nspk-epi-q-mod,na,basque_049,felicitous,Q2,( ✓ under the AltQ reading; this is not a Yes/No question )
basque_evidence_076,disj-nspk-sta-inc-q,na,basque_048,infelicitous,Q2,ala is infelicitious because it is possible that both supermarkets sell the sauce.
basque_evidence_077,fc,na,basque_050,infelicitous,Q2,The consultant would use ala. Edo would suggest that Paul can take two sweets.
